N,base_version,blocking_4_block_4_unfold_sr_vec,blocking_8_block_4_unfold_sr_vec,blocking_16_block_4_unfold_sr_vec,blocking_32_block_4_unfold_sr_vec,blocking_64_block_4_unfold_sr_vec
4,474.000000,97.000000,97.000000,98.000000,202.000000,99.000000
8,417.000000,198.000000,177.000000,179.000000,178.000000,171.000000
16,2189.000000,597.000000,480.000000,460.000000,489.000000,733.000000
32,8449.000000,2002.000000,1959.000000,1539.000000,1540.000000,1491.000000
64,32756.000000,7480.000000,6320.000000,8374.000000,8124.000000,8148.000000
128,213223.000000,34384.000000,28585.000000,25840.000000,24872.000000,24806.000000
256,660669.000000,116238.000000,96044.000000,86580.000000,83026.000000,83033.000000
512,4960103.000000,608118.000000,384741.000000,349719.000000,450767.000000,451114.000000
1024,30146838.000000,2804514.000000,1899783.000000,2145239.000000,1901570.000000,1901956.000000
2048,106836657.000000,12668295.000000,10098021.000000,9392776.000000,9078636.000000,9133104.000000
4096,484837828.000000,66469234.000000,40644101.000000,40675912.000000,46740253.000000,46310687.000000
8192,2248248734.000000,311605182.000000,174474920.000000,213218417.000000,191008814.000000,193635621.000000
