N,base_version,blocking_16_block_4_unfold_sr_vec,blocking_32_block_4_unfold_sr_vec,blocking_64_block_4_unfold_sr_vec
4,148.272727,94.454545,207.454545,98.545455
8,452.454545,496.181818,200.545455,192.636364
16,2025.727273,479.000000,477.000000,475.818182
32,8257.909091,1737.363636,1575.818182,1476.181818
64,32503.090909,5616.363636,5477.363636,5442.818182
128,205284.181818,21668.090909,20886.090909,20902.090909
256,930582.000000,85065.727273,82491.636364,82601.181818
512,6688008.363636,357954.363636,467394.636364,468685.636364
1024,25934512.000000,2245572.000000,2040383.545455,2041388.272727
2048,107478587.636364,9361999.090909,8866233.454545,9494417.363636
4096,493220832.454545,40439105.272727,46900184.454545,46603241.454545
8192,2245966411.363636,212761440.636364,187805612.818182,195304706.272727
