N,base_version,blocking_32_block_4_unfold_sr_vec,blocking_32_block_8_unfold_sr_vec
8,417.000000,179.000000,163.000000
16,2056.000000,462.000000,438.000000
32,8628.000000,1556.000000,1120.000000
64,48675.000000,6495.000000,4758.000000
128,240844.000000,24834.000000,18480.000000
256,975287.000000,85052.000000,66482.000000
512,5027723.000000,452739.000000,368237.000000
1024,26175592.000000,2042354.000000,2123298.000000
2048,110450393.000000,8898411.000000,7815566.000000
4096,477457740.000000,46746936.000000,37520263.000000
8192,2168106031.000000,195578828.000000,151261818.000000
