N,base_version,blocking_32_block_4_unfold_sr_vec,blocking_32_block_8_unfold_sr_vec,blocking_32_block_8_unfold_sr_vec_2
8,430.000000,325.000000,158.000000,125.000000
16,1931.000000,460.000000,368.000000,251.000000
32,8241.000000,1471.000000,1120.000000,924.000000
64,170600.000000,8043.000000,4746.000000,2934.000000
128,141440.000000,21137.000000,15568.000000,9379.000000
256,662521.000000,83045.000000,64932.000000,43120.000000
512,5036046.000000,452933.000000,363206.000000,293310.000000
1024,26187215.000000,2043817.000000,1802681.000000,1317979.000000
2048,106847654.000000,8923909.000000,7938944.000000,6532327.000000
4096,482451835.000000,46422402.000000,35969880.000000,32091021.000000
8192,2259782198.000000,195144535.000000,147193212.000000,132633651.000000
