N,base_version,blocking_16_block_8_unfold_sr_vec_2,blocking_32_block_8_unfold_sr_vec_2,blocking_64_block_8_unfold_sr_vec_2
8,418.000000,117.000000,131.000000,119.000000
16,1890.000000,372.000000,234.000000,286.000000
32,8106.000000,821.000000,652.000000,668.000000
64,32235.000000,2701.000000,2385.000000,2272.000000
128,186317.000000,11260.000000,10135.000000,11078.000000
256,689282.000000,51966.000000,49760.000000,52832.000000
512,4962566.000000,321685.000000,327165.000000,306056.000000
1024,26415373.000000,1650349.000000,1439592.000000,1395221.000000
2048,106570235.000000,7825726.000000,7003615.000000,7721774.000000
4096,486421006.000000,37949234.000000,34549084.000000,34476031.000000
8192,2254536755.000000,193584719.000000,155684767.000000,141417972.000000
