N,base_version,fused,unfold_sr,blocking,blocking_avx,blocking2_avx
8,478.000000,318.000000,533.000000,428.000000,175.000000,135.000000
16,2498.000000,1598.000000,2137.000000,1243.000000,329.000000,281.000000
32,8749.000000,5466.000000,5731.000000,4298.000000,1921.000000,2238.000000
64,51281.000000,31162.000000,28690.000000,18639.000000,3138.000000,3848.000000
128,143183.000000,80512.000000,75635.000000,61339.000000,10503.000000,12963.000000
256,668258.000000,414284.000000,382983.000000,240438.000000,53003.000000,58096.000000
512,5128644.000000,3173220.000000,1939635.000000,975515.000000,284913.000000,350475.000000
1024,26677391.000000,20594715.000000,8338445.000000,4251591.000000,1141861.000000,1460398.000000
2048,108875056.000000,84530756.000000,37620018.000000,17839560.000000,7932893.000000,6933932.000000
4096,485481730.000000,370968852.000000,199892388.000000,80584213.000000,38338753.000000,33409120.000000
8192,2247191075.000000,1987994901.000000,1106633462.000000,353808080.000000,168526267.000000,134509762.000000
