N,base_version,blocking_4_block_4_unfold_sr_vec,blocking_8_block_4_unfold_sr_vec,blocking_16_block_4_unfold_sr_vec,blocking_32_block_4_unfold_sr_vec,blocking_32_block_8_unfold_sr_vec,blocking_64_block_4_unfold_sr_vec
8,574.000000,187.000000,159.000000,159.000000,157.000000,153.000000,159.000000
16,1857.000000,535.000000,452.000000,422.000000,414.000000,346.000000,413.000000
32,7650.000000,1817.000000,1544.000000,1408.000000,1378.000000,1063.000000,1782.000000
64,29992.000000,6785.000000,5752.000000,5207.000000,5071.000000,3989.000000,5048.000000
128,188259.000000,26646.000000,22290.000000,20158.000000,19338.000000,14859.000000,19348.000000
256,909569.000000,110476.000000,87812.000000,79689.000000,78243.000000,67742.000000,78323.000000
512,6246625.000000,632383.000000,403339.000000,341196.000000,443252.000000,350938.000000,443403.000000
1024,27833866.000000,2641134.000000,1794987.000000,2009723.000000,1919902.000000,1586487.000000,1921327.000000
2048,121689777.000000,12524055.000000,8489928.000000,8814097.000000,8999055.000000,7382483.000000,8990246.000000
4096,526560576.000000,64079588.000000,39189589.000000,40132383.000000,46695544.000000,36090051.000000,46697379.000000
8192,2179872823.000000,278119593.000000,162896583.000000,197941963.000000,188178846.000000,145498044.000000,188321924.000000
