N,base_version,fused,unfold_sr,blocking,blocking_avx,blocking2_avx
500,1310131.000000,1154131.000000,663153.000000,618284.000000,189490.000000,208692.000000
1000,5303367.000000,4686827.000000,3049137.000000,2465746.000000,632939.000000,783061.000000
1500,12431715.000000,10850590.000000,7574750.000000,5720798.000000,2188198.000000,2335109.000000
2000,26477458.000000,23298159.000000,18764831.000000,11275697.000000,4291848.000000,4155587.000000
2500,43229772.000000,39590123.000000,35822173.000000,18695621.000000,8081315.000000,6832996.000000
3000,67324974.000000,61635401.000000,58863372.000000,28064379.000000,11097472.000000,9859969.000000
3500,96232591.000000,88638609.000000,86936901.000000,39145984.000000,16964131.000000,14123611.000000
4000,135279061.000000,125183389.000000,123482845.000000,52722957.000000,22216542.000000,18240698.000000
4500,176013373.000000,160932906.000000,162603778.000000,67010045.000000,29902758.000000,23110335.000000
5000,226031183.000000,205814276.000000,211848797.000000,84534600.000000,35778391.000000,29746375.000000
5500,284362788.000000,257380427.000000,267208133.000000,103770101.000000,49084035.000000,38329006.000000
6000,348163426.000000,316183152.000000,331261959.000000,125734629.000000,59515334.000000,44840980.000000
6500,419586805.000000,378708204.000000,400697568.000000,147705039.000000,71937083.000000,55207067.000000
7000,500543076.000000,450929953.000000,481618575.000000,173942504.000000,81335026.000000,67139850.000000
7500,588563417.000000,530993014.000000,569185260.000000,200239892.000000,99612623.000000,78052427.000000
8000,699279451.000000,633466407.000000,682468978.000000,239193306.000000,123386387.000000,89902252.000000
8500,781480627.000000,707737992.000000,762315183.000000,261113777.000000,129193109.000000,98898565.000000
9000,880871677.000000,799026537.000000,865882619.000000,295819974.000000,140419736.000000,115599802.000000
9500,984493871.000000,893456752.000000,969863125.000000,332356311.000000,165880419.000000,130087871.000000
10000,1093297457.000000,993051198.000000,1096760375.000000,370898917.000000,184493099.000000,137932783.000000
