N,base_version,fused,unfold_sr,blocking,blocking_avx,blocking2_avx
8,431.000000,281.000000,335.000000,361.000000,125.000000,129.000000
16,1946.000000,1175.000000,998.000000,1145.000000,250.000000,250.000000
32,8147.000000,4794.000000,3177.000000,4097.000000,707.000000,851.000000
64,32129.000000,18472.000000,11002.000000,15482.000000,2262.000000,2611.000000
128,141200.000000,80111.000000,60651.000000,61129.000000,10186.000000,9954.000000
256,699139.000000,463280.000000,377274.000000,254988.000000,57629.000000,51841.000000
512,5130764.000000,3021514.000000,2200222.000000,1245694.000000,283387.000000,284302.000000
1024,26815033.000000,21391762.000000,7656963.000000,5484525.000000,1164018.000000,1246264.000000
2048,117834984.000000,95401486.000000,37690970.000000,24877746.000000,6918521.000000,6549556.000000
4096,521309429.000000,440622026.000000,190773770.000000,104491691.000000,31166684.000000,27775307.000000
8192,2159301389.000000,1958495721.000000,864482196.000000,447926433.000000,150240863.000000,127328244.000000
