N,base_version,fused,unfold_sr,blocking,blocking_avx,blocking2_avx
500,2041837.000000,1105061.000000,685321.000000,770712.000000,195125.000000,197478.000000
1000,8557895.000000,4812387.000000,3211213.000000,3148497.000000,647081.000000,711646.000000
1500,19719865.000000,11608834.000000,8060754.000000,7336081.000000,1952850.000000,2240927.000000
2000,35413485.000000,21145317.000000,14638405.000000,13010139.000000,3772661.000000,3582162.000000
2500,56930314.000000,35305138.000000,26195572.000000,21325920.000000,8267363.000000,8239339.000000
3000,83079439.000000,51034436.000000,37900847.000000,31241008.000000,12025788.000000,12783779.000000
3500,119051105.000000,78509288.000000,60907778.000000,43251178.000000,16699013.000000,15816924.000000
4000,170847167.000000,116575700.000000,90851831.000000,56714729.000000,23694553.000000,19796486.000000
4500,199453916.000000,133663650.000000,103965433.000000,71256123.000000,27660091.000000,28608760.000000
5000,252877615.000000,171066068.000000,133432080.000000,88551645.000000,33995888.000000,35670990.000000
5500,310291664.000000,212631789.000000,166636596.000000,107372236.000000,41854570.000000,42081720.000000
6000,377044979.000000,259613713.000000,198474118.000000,127105376.000000,51210154.000000,45976846.000000
6500,446500118.000000,311601926.000000,243090606.000000,150578896.000000,60898049.000000,59723701.000000
7000,520361525.000000,363201680.000000,280898266.000000,175116892.000000,68251872.000000,67007341.000000
7500,599569458.000000,422875479.000000,325996032.000000,201182888.000000,78035649.000000,75082603.000000
8000,775283473.000000,558195301.000000,464107257.000000,240794164.000000,112716620.000000,84889484.000000
8500,795597656.000000,567456420.000000,446599585.000000,259645771.000000,101830590.000000,91760985.000000
9000,879725944.000000,619692246.000000,479219230.000000,291428750.000000,114411016.000000,120780400.000000
9500,985130592.000000,703006268.000000,548506245.000000,325247327.000000,129156572.000000,127100575.000000
10000,1094806854.000000,779382390.000000,592671018.000000,359247320.000000,154596970.000000,134172039.000000
