N,base_version,fused,unfold_sr,blocking,blocking_avx,blocking2_avx
500,2041837.000000,1105061.000000,685321.000000,770712.000000,193833.000000,199641.000000
1000,8557895.000000,4812387.000000,3211213.000000,3148497.000000,658903.000000,723869.000000
1500,19719865.000000,11608834.000000,8060754.000000,7336081.000000,2139658.000000,2072850.000000
2000,35413485.000000,21145317.000000,14638405.000000,13010139.000000,3972286.000000,3757691.000000
2500,56930314.000000,35305138.000000,26195572.000000,21325920.000000,8371018.000000,8467499.000000
3000,83079439.000000,51034436.000000,37900847.000000,31241008.000000,12065571.000000,12795351.000000
3500,119051105.000000,78509288.000000,60907778.000000,43251178.000000,16758325.000000,16268174.000000
4000,170847167.000000,116575700.000000,90851831.000000,56714729.000000,23649817.000000,19956299.000000
4500,199453916.000000,133663650.000000,103965433.000000,71256123.000000,27777903.000000,29487604.000000
5000,252877615.000000,171066068.000000,133432080.000000,88551645.000000,34146260.000000,35713871.000000
5500,310291664.000000,212631789.000000,166636596.000000,107372236.000000,42198146.000000,43725135.000000
6000,377044979.000000,259613713.000000,198474118.000000,127105376.000000,51453090.000000,47023383.000000
6500,446500118.000000,311601926.000000,243090606.000000,150578896.000000,60763389.000000,56451438.000000
7000,520361525.000000,363201680.000000,280898266.000000,175116892.000000,68544698.000000,67969581.000000
7500,599569458.000000,422875479.000000,325996032.000000,201182888.000000,81010523.000000,84168643.000000
8000,775283473.000000,558195301.000000,464107257.000000,240794164.000000,112420022.000000,85403750.000000
8500,795597656.000000,567456420.000000,446599585.000000,259645771.000000,102433009.000000,92925534.000000
9000,879725944.000000,619692246.000000,479219230.000000,291428750.000000,116002997.000000,121732225.000000
9500,985130592.000000,703006268.000000,548506245.000000,325247327.000000,130962976.000000,132923813.000000
10000,1094806854.000000,779382390.000000,592671018.000000,359247320.000000,153093849.000000,131607366.000000
