N,base_version,fused,unfold_sr,blocking,blocking_avx,blocking2_avx
500,1890263.000000,1150021.000000,680187.000000,617837.000000,187430.000000,208853.000000
1000,7609422.000000,4644449.000000,3072246.000000,2451069.000000,617202.000000,758669.000000
1500,17247575.000000,10598474.000000,7247007.000000,5639691.000000,2164433.000000,2137839.000000
2000,31310816.000000,19481773.000000,13351664.000000,10111763.000000,3766785.000000,3774496.000000
2500,49546788.000000,31193280.000000,22896543.000000,16263983.000000,8333294.000000,7977355.000000
3000,73058822.000000,46139742.000000,33178242.000000,24279182.000000,12108315.000000,12350350.000000
3500,104124154.000000,67058069.000000,49822898.000000,33804734.000000,16633735.000000,15977848.000000
4000,149314531.000000,101359070.000000,78824725.000000,44744167.000000,23777606.000000,21395190.000000
4500,174558990.000000,113179465.000000,84109168.000000,55342347.000000,27601015.000000,26771691.000000
5000,221786556.000000,146523929.000000,111510556.000000,70005422.000000,34170624.000000,34134234.000000
5500,271501993.000000,179899457.000000,135743201.000000,84290629.000000,41734052.000000,40384380.000000
6000,331106572.000000,223399228.000000,166336410.000000,100155817.000000,51313971.000000,48420825.000000
6500,389956268.000000,262647634.000000,201298387.000000,119393312.000000,59739356.000000,55327581.000000
7000,456305494.000000,309780122.000000,233348903.000000,140125032.000000,68516902.000000,66520116.000000
7500,524662710.000000,354832190.000000,269510274.000000,159479704.000000,77797387.000000,75894551.000000
8000,687930412.000000,494822481.000000,433106105.000000,197493768.000000,112010984.000000,94467125.000000
8500,697727511.000000,478502774.000000,361388239.000000,206394080.000000,99484594.000000,92719483.000000
9000,762881416.000000,518842695.000000,399155817.000000,232361240.000000,112910219.000000,113815876.000000
9500,855048822.000000,580547780.000000,450348198.000000,257099969.000000,125703217.000000,122707914.000000
10000,950538663.000000,649511454.000000,492747592.000000,281728183.000000,152849762.000000,142907280.000000
