N,base_version,fused,unfold_sr,blocking,blocking_avx,blocking2_avx
500,1302709.000000,1149715.000000,681873.000000,618405.000000,188770.000000,208622.000000
1000,5208927.000000,4646383.000000,3078769.000000,2450469.000000,620437.000000,761274.000000
1500,11985523.000000,10580199.000000,7229935.000000,5640357.000000,1979220.000000,2122300.000000
2000,22201537.000000,19481169.000000,13415569.000000,10097792.000000,3719470.000000,3761027.000000
2500,35929446.000000,31157411.000000,22810482.000000,16195342.000000,8211889.000000,7913323.000000
3000,53407061.000000,46024496.000000,32987362.000000,24109241.000000,11958421.000000,12136359.000000
3500,77911434.000000,67118109.000000,49730799.000000,33589831.000000,16410323.000000,15775327.000000
4000,115658273.000000,101706181.000000,79189933.000000,44466426.000000,23638735.000000,21890167.000000
4500,131928607.000000,113492258.000000,83826841.000000,55031250.000000,27321579.000000,26598269.000000
5000,169216545.000000,146747361.000000,113066965.000000,85399867.000000,37565930.000000,48685425.000000
5500,556124380.000000,552590936.000000,142283546.000000,104647538.000000,49307752.000000,59995944.000000
6000,663971614.000000,662428723.000000,171460721.000000,110336633.000000,50086998.000000,49425887.000000
6500,811935793.000000,810564152.000000,203584793.000000,148074389.000000,65512808.000000,68944725.000000
7000,958697417.000000,957472975.000000,238261683.000000,172215542.000000,75527972.000000,95686794.000000
7500,1102017133.000000,1100742666.000000,273972488.000000,196703127.000000,92186465.000000,112454826.000000
8000,1456252452.000000,1469780696.000000,432879619.000000,211095326.000000,111493919.000000,105025344.000000
8500,1493336580.000000,1496623759.000000,369405469.000000,256324285.000000,109925121.000000,119139464.000000
9000,1647293759.000000,1647600020.000000,403791227.000000,286876954.000000,125815766.000000,159949119.000000
9500,674590256.000000,588618039.000000,457651118.000000,258774007.000000,127317413.000000,126584729.000000
10000,750274094.000000,659733279.000000,501278556.000000,283189820.000000,153954716.000000,145153774.000000
