N,base_version,subexpression and strength reduction,unrolling,blocking
8,285061.000000,247562.000000,272242.000000,209729.000000
16,878637.000000,826283.000000,808290.000000,666502.000000
32,2747062.000000,3214211.000000,2683256.000000,2300734.000000
64,6247798.000000,6228748.000000,6124484.000000,6462079.000000
128,27248633.000000,24036518.000000,25755395.000000,26411588.000000
256,103057105.000000,105316893.000000,105595459.000000,104222563.000000
512,416773718.000000,408754036.000000,452872472.000000,414480843.000000
1024,2241670984.000000,2086232740.000000,2113764381.000000,2314990254.000000
2048,13820004913.000000,14453490752.000000,12587512149.000000,14186628812.000000
4096,92032657555.000000,88202178516.000000,90137753158.000000,102322521010.000000
8192,460829094270.000000,468345133090.000000,422264196577.000000,511446607373.000000

