N,base_version,blocking_4,blocking_8,blocking_16,blocking_32,blocking_64
4,81.000000,99.000000,97.000000,99.000000,97.000000,99.000000
8,252.000000,292.000000,264.000000,264.000000,263.000000,263.000000
16,1009.000000,4544.000000,1025.000000,904.000000,893.000000,889.000000
32,4086.000000,4151.000000,3887.000000,3727.000000,3769.000000,13360.000000
64,17353.000000,16375.000000,16272.000000,15964.000000,15059.000000,14593.000000
128,80864.000000,64606.000000,60467.000000,64400.000000,74287.000000,60750.000000
256,432852.000000,269287.000000,279261.000000,257099.000000,293235.000000,593080.000000
512,3911388.000000,1690123.000000,970939.000000,1001251.000000,2619096.000000,2828616.000000
1024,21844490.000000,4122684.000000,4137310.000000,19835992.000000,19271141.000000,19089370.000000
2048,88783535.000000,20047854.000000,19500103.000000,78620727.000000,79851610.000000,88331945.000000
4096,412615558.000000,90763303.000000,235609246.000000,323961573.000000,361300126.000000,370792625.000000
8192,1994921908.000000,485326789.000000,441888003.000000,1392354301.000000,1393911193.000000,1429471244.000000
