N,base_version,blocking_4,blocking_8,blocking_16,blocking_32,blocking_64
4,93.400000,129.300000,98.500000,230.000000,98.800000,118.700000
8,264.500000,307.300000,298.000000,539.800000,398.700000,264.300000
16,1089.000000,1289.200000,1000.300000,907.000000,998.100000,7716.900000
32,3991.700000,4159.000000,9570.700000,3533.400000,3915.300000,3779.100000
64,15563.100000,16197.400000,15426.300000,22759.400000,15508.100000,14524.700000
128,74486.100000,63982.900000,65203.800000,56130.300000,61423.900000,57454.700000
256,390679.800000,254295.800000,256352.600000,224396.600000,246997.300000,563902.700000
512,4027804.700000,2000904.700000,997250.500000,969313.600000,2504591.500000,2738708.000000
1024,22349218.300000,4132241.700000,4355983.700000,20216139.300000,19804681.700000,18921717.800000
2048,88320741.900000,23295029.500000,23619543.700000,78431076.500000,80092020.500000,92542977.800000
4096,409441301.200000,83330018.400000,105960849.600000,321058276.900000,372354676.400000,374181847.600000
