N,base_version,blocking_4,blocking_4_unfoold_sr
4,75.000000,95.000000,111.000000
8,1170.000000,291.000000,240.000000
16,926.000000,1051.000000,627.000000
32,4110.000000,4164.000000,2008.000000
64,15562.000000,16230.000000,7463.000000
128,74953.000000,64019.000000,30189.000000
256,422362.000000,254507.000000,126043.000000
512,4020191.000000,1240888.000000,661117.000000
1024,25467999.000000,7301132.000000,3423361.000000
2048,94346079.000000,33175162.000000,15402178.000000
4096,415651270.000000,90109281.000000,71229702.000000
8192,1982811404.000000,512875159.000000,329193573.000000
