N,base_version,blocking_4,blocking_4_unfoold_sr,blocking_32_block_4,blocking_32_block_4_unfold_sr
4,76.000000,95.000000,109.000000,115.000000,137.000000
8,240.000000,285.000000,238.000000,300.000000,256.000000
16,987.000000,4520.000000,638.000000,1005.000000,1015.000000
32,4094.000000,4168.000000,2013.000000,4072.000000,2670.000000
64,15657.000000,16211.000000,7490.000000,15796.000000,10256.000000
128,140065.000000,65233.000000,34467.000000,62237.000000,43406.000000
256,413048.000000,274035.000000,125710.000000,244696.000000,174659.000000
512,4613558.000000,1014581.000000,710061.000000,974800.000000,799604.000000
1024,22328532.000000,4108515.000000,3370748.000000,3970905.000000,3259463.000000
2048,101596502.000000,21946787.000000,17172907.000000,20315569.000000,14229451.000000
4096,405844218.000000,142375498.000000,77619797.000000,71356074.000000,65347775.000000
8192,1989232309.000000,489280298.000000,351695445.000000,486759169.000000,274853615.000000
