N,base_version,blocking_4,blocking_4_unfoold_sr,blocking_32_block_4,blocking_32_block_4_unfold_sr,blocking_32_block_4_unfold_sr_vec
4,73.000000,93.000000,110.000000,137.000000,133.000000,76.000000
8,244.000000,284.000000,230.000000,296.000000,256.000000,139.000000
16,1122.000000,1051.000000,623.000000,1004.000000,759.000000,369.000000
32,4280.000000,4173.000000,1983.000000,4106.000000,2634.000000,1255.000000
64,16017.000000,16262.000000,7391.000000,15816.000000,10423.000000,4730.000000
128,139199.000000,64259.000000,49423.000000,62161.000000,42615.000000,19254.000000
256,427172.000000,268940.000000,147191.000000,271987.000000,181874.000000,76041.000000
512,4517056.000000,1019607.000000,645175.000000,1143094.000000,799009.000000,453969.000000
1024,21796314.000000,4138605.000000,3381545.000000,3971985.000000,3249138.000000,2031532.000000
2048,90674066.000000,17670619.000000,16776682.000000,26345202.000000,14212978.000000,9189392.000000
4096,417131628.000000,89869380.000000,71665111.000000,103724189.000000,64878397.000000,49373491.000000
8192,1985678808.000000,485656224.000000,340129368.000000,452342919.000000,269741002.000000,196087029.000000
