N,base_version,blocking_4,blocking_32_block_4_unfold1_sr,blocking_32_block_4_unfold2_sr,blocking_32_block_4_unfold2_sr_vec
4,90.000000,125.800000,225.200000,169.100000,83.400000
8,299.800000,362.400000,315.200000,333.200000,151.000000
16,5415.900000,5526.100000,4050.800000,1226.900000,582.300000
32,6293.700000,6263.000000,7637.800000,3034.700000,1290.800000
64,15775.600000,16248.700000,7111.900000,13959.700000,6104.700000
128,74519.900000,64008.000000,27525.600000,83500.600000,36047.600000
256,389557.700000,254294.000000,111208.800000,561079.900000,299814.900000
512,3812775.100000,1015453.700000,594107.400000,5140933.600000,3596344.100000
1024,22022953.300000,4234197.800000,3525179.500000,40670130.100000,29478483.200000
2048,93208938.900000,32519208.800000,15341235.300000,327783345.200000,259837085.600000
4096,413535568.600000,87352052.300000,61868903.200000,3024245554.400000,2334269460.100000
