N,base_version,blocking_4,blocking_4_unfoold_sr,blocking_32_block_4,blocking_32_block_4_unfold_sr,blocking_16_block_8_unfold_sr,blocking_64_block_8_unfold_sr
8,242.000000,291.000000,242.000000,311.000000,252.000000,341.000000,345.000000
16,938.000000,1051.000000,652.000000,1005.000000,762.000000,856.000000,799.000000
32,4050.000000,4163.000000,2018.000000,4056.000000,2657.000000,2490.000000,2407.000000
64,15512.000000,16218.000000,7452.000000,15851.000000,10303.000000,8556.000000,8202.000000
128,141664.000000,64408.000000,34051.000000,62846.000000,42417.000000,34675.000000,32601.000000
256,731300.000000,258118.000000,128757.000000,258792.000000,191292.000000,128193.000000,126713.000000
512,4013119.000000,1026728.000000,736044.000000,974304.000000,1245389.000000,573862.000000,580847.000000
1024,22020372.000000,4133590.000000,3581777.000000,3971819.000000,3252158.000000,4047638.000000,3383753.000000
2048,90265782.000000,17744737.000000,17152270.000000,16534400.000000,14279477.000000,15988505.000000,15182764.000000
4096,426808468.000000,82996294.000000,72499369.000000,71152462.000000,63855176.000000,63904267.000000,61552488.000000
8192,1975943368.000000,516767163.000000,350998691.000000,486830630.000000,270935824.000000,263571801.000000,243405295.000000
