N,base_version,blocking_4,blocking_4_unfoold_sr,blocking_8,blocking_16,blocking_32,blocking_64,blocking_32_block_4,blocking_32_block_4_unfold_sr,blocking_16_block_8_unfold_sr,blocking_64_block_8_unfold_sr,blocking_32_block_4_unfold_sr_vec
8,443.000000,328.000000,218.000000,274.000000,296.000000,284.000000,284.000000,273.000000,292.000000,282.000000,283.000000,129.000000
16,887.000000,1302.000000,604.000000,839.000000,772.000000,788.000000,1087.000000,918.000000,678.000000,698.000000,698.000000,344.000000
32,3765.000000,3726.000000,2066.000000,3398.000000,3045.000000,3299.000000,3272.000000,3662.000000,2408.000000,2243.000000,2143.000000,1205.000000
64,14376.000000,14350.000000,7656.000000,13221.000000,12107.000000,13091.000000,12495.000000,14303.000000,9537.000000,7631.000000,7525.000000,4543.000000
128,125622.000000,56309.000000,32430.000000,52468.000000,50654.000000,55877.000000,55851.000000,55883.000000,38792.000000,29915.000000,29390.000000,17706.000000
256,793452.000000,277220.000000,151861.000000,232034.000000,220528.000000,235947.000000,535838.000000,231470.000000,166171.000000,124234.000000,126305.000000,71540.000000
512,5276351.000000,1641371.000000,779365.000000,1177392.000000,1040512.000000,2462068.000000,2622039.000000,1079768.000000,775924.000000,571542.000000,561258.000000,444401.000000
1024,23766865.000000,7129379.000000,3674678.000000,5409802.000000,17993059.000000,18092963.000000,18176254.000000,6220857.000000,3110719.000000,3051164.000000,3110909.000000,1889492.000000
2048,106422943.000000,31243511.000000,16177499.000000,22924522.000000,69700933.000000,71048758.000000,86576400.000000,25939124.000000,13716302.000000,14395256.000000,14670710.000000,9031684.000000
4096,457510271.000000,131429278.000000,71138698.000000,112112808.000000,282738384.000000,343722690.000000,346958776.000000,122521571.000000,66774002.000000,70329273.000000,66207315.000000,45454444.000000
8192,1873695976.000000,532317218.000000,297081076.000000,458495078.000000,1300874610.000000,1294764950.000000,1298845246.000000,484528309.000000,269433850.000000,327991126.000000,280749935.000000,182754571.000000
