N,base_version,unfold_d,unfold_d_unfold_mx4,unfold_d_unfold_mx8,unfold_d_unfold_mx4_vec,unfold_d_unfold_mx8_vec
4,246.000000,84.000000,99.000000,165.000000,156.000000,184.000000
8,926.000000,268.000000,266.000000,299.000000,318.000000,356.000000
16,7077.000000,1041.000000,949.000000,995.000000,1219.000000,1158.000000
32,32221.000000,4847.000000,3739.000000,3779.000000,4472.000000,4461.000000
64,52432.000000,18558.000000,15561.000000,14890.000000,17831.000000,36747.000000
128,307201.000000,83541.000000,70381.000000,69233.000000,70359.000000,70623.000000
256,806965.000000,281065.000000,242449.000000,239067.000000,281481.000000,282724.000000
512,3204037.000000,1112377.000000,982739.000000,968511.000000,1129249.000000,1134505.000000
1024,12762858.000000,4538770.000000,3778117.000000,3770981.000000,4590756.000000,4595139.000000
2048,50976652.000000,18548587.000000,17730027.000000,15022733.000000,18992318.000000,18603008.000000
4096,208341571.000000,74189684.000000,61727925.000000,61227108.000000,74188526.000000,74991695.000000
8192,827378506.000000,300231794.000000,251549010.000000,244567788.000000,307875306.000000,307849910.000000
