N,base_version,unfold_d,unfold_d_unfold_mx4,unfold_d_unfold_mx8,unfold_d_unfold_mx4_vec,unfold_d_unfold_mx8_vec
4,258.000000,80.000000,88.000000,318.000000,103.000000,451.000000
8,849.000000,266.000000,244.000000,278.000000,292.000000,297.000000
16,3340.000000,1020.000000,873.000000,911.000000,1052.000000,1057.000000
32,13551.000000,4372.000000,3436.000000,3487.000000,4087.000000,4093.000000
64,52712.000000,18458.000000,14189.000000,13630.000000,16279.000000,16305.000000
128,203597.000000,72130.000000,55251.000000,54023.000000,64918.000000,65027.000000
256,804007.000000,282489.000000,218426.000000,215738.000000,259754.000000,261411.000000
512,3197710.000000,1116713.000000,861892.000000,855644.000000,1040577.000000,1041239.000000
1024,12758129.000000,4506165.000000,3569070.000000,3555545.000000,4288123.000000,4370762.000000
2048,51586213.000000,18086752.000000,14289893.000000,14214670.000000,17141852.000000,17070391.000000
4096,219720782.000000,74169835.000000,56029642.000000,56049782.000000,68027010.000000,68040729.000000
8192,813853939.000000,296748358.000000,229379120.000000,223863494.000000,278503963.000000,274476086.000000
