N,base_version,unfold_d,unfold_d_unfold_mx4,unfold_d_unfold_mx4_vec,unfold_d_unfold_nx4_mx4_vec
16,3564.000000,1160.000000,1029.000000,1215.000000,1211.000000
32,14162.000000,5289.000000,3895.000000,4710.000000,4450.000000
64,53012.000000,61258.000000,15800.000000,28072.000000,17685.000000
128,307435.000000,84534.000000,70665.000000,87734.000000,69941.000000
256,807902.000000,282364.000000,237369.000000,299242.000000,280047.000000
512,3216473.000000,1116708.000000,936090.000000,1194009.000000,1134764.000000
1024,12790658.000000,4582427.000000,3758329.000000,4864305.000000,4777501.000000
2048,50987719.000000,18595475.000000,14994624.000000,19555703.000000,20047015.000000
4096,204148588.000000,74236497.000000,65211826.000000,78593003.000000,91976816.000000
8192,828290143.000000,304837499.000000,238865660.000000,321444302.000000,436257248.000000
