N,base_version,fused,unfold_accumulators,unfold_accumulators_avx
8,906.000000,1170.000000,509.000000,509.000000
16,3691.000000,3628.000000,1639.000000,689.000000
32,14575.000000,57350.000000,6136.000000,1778.000000
64,79939.000000,53229.000000,48507.000000,6841.000000
128,206193.000000,205945.000000,91316.000000,27215.000000
256,810976.000000,815975.000000,363561.000000,122774.000000
512,3230150.000000,3236130.000000,1467229.000000,524025.000000
1024,12879411.000000,12804569.000000,5824672.000000,2578492.000000
2048,52029005.000000,51234672.000000,23370529.000000,11179246.000000
4096,208697101.000000,210021045.000000,94296367.000000,45764338.000000
8192,831125905.000000,826095550.000000,384750282.000000,209005861.000000
