N,base_version,fused,unfold_accumulators,unfold_accumulators_avx
500,2249134.000000,996552.000000,1056056.000000,350819.000000
1000,9149669.000000,4096478.000000,4230104.000000,1741260.000000
1500,20643860.000000,9189084.000000,9546871.000000,3615084.000000
2000,36117671.000000,16338374.000000,16813307.000000,7025076.000000
2500,56478273.000000,25655271.000000,26190071.000000,10773611.000000
3000,81339613.000000,36601046.000000,37770493.000000,15046433.000000
3500,110818649.000000,49847264.000000,51274370.000000,20807468.000000
4000,147371579.000000,65558381.000000,67119451.000000,29621323.000000
4500,186951385.000000,83414429.000000,86081218.000000,35108780.000000
5000,230272525.000000,102669902.000000,104300977.000000,41928753.000000
5500,278852057.000000,124226356.000000,126907823.000000,50442946.000000
6000,331602002.000000,147600028.000000,150703428.000000,64801411.000000
6500,389597173.000000,173115744.000000,177564072.000000,71552216.000000
7000,451514443.000000,200752602.000000,204243711.000000,82331900.000000
7500,518766204.000000,230634561.000000,235871870.000000,95415144.000000
8000,589844556.000000,262298470.000000,267368049.000000,118668593.000000
8500,666320073.000000,296201874.000000,301936258.000000,126757121.000000
9000,746836646.000000,333458155.000000,336876899.000000,131599016.000000
9500,832251778.000000,370010757.000000,376622219.000000,151989136.000000
10000,921751818.000000,410060731.000000,417263838.000000,181430459.000000
