N,base_version,fused,unfold_accumulators,unfold_accumulators_avx
500,3296266.000000,471085.000000,1341149.000000,348428.000000
1000,13096315.000000,1863169.000000,5481210.000000,1353205.000000
1500,29402803.000000,4306283.000000,12804228.000000,3623184.000000
2000,52207773.000000,7649868.000000,22687954.000000,6766617.000000
2500,81508916.000000,12775624.000000,34825307.000000,10745523.000000
3000,117320371.000000,17794538.000000,50056828.000000,15083901.000000
3500,159621477.000000,24971773.000000,68132196.000000,20705597.000000
4000,208444682.000000,31966490.000000,89168666.000000,29208644.000000
4500,264150330.000000,43702580.000000,112675403.000000,35423708.000000
5000,325554201.000000,50664281.000000,138822593.000000,41940547.000000
5500,393867077.000000,63724703.000000,167013318.000000,51121323.000000
6000,468701259.000000,72260073.000000,198515369.000000,64037123.000000
6500,550021627.000000,88341439.000000,233198054.000000,70905611.000000
7000,637869150.000000,99120675.000000,269537129.000000,81652988.000000
7500,732209449.000000,118234687.000000,309330054.000000,95301683.000000
8000,833116725.000000,129211192.000000,357705475.000000,117169258.000000
8500,940449372.000000,152492543.000000,397925388.000000,122690226.000000
9000,1054354259.000000,167040525.000000,446505959.000000,132072284.000000
9500,1174691237.000000,190434562.000000,494516056.000000,151260876.000000
10000,1301607779.000000,203611577.000000,550881800.000000,180257191.000000
