N,base_version,fused,unfold_accumulators,unfold_accumulators_avx
500,3151138.000000,1097645.000000,1366306.000000,328787.000000
1000,12578036.000000,4442552.000000,5475075.000000,1291069.000000
1500,28419314.000000,9927677.000000,12404486.000000,3213633.000000
2000,50134817.000000,17640177.000000,22021841.000000,5611039.000000
2500,78293692.000000,27847439.000000,34259654.000000,9256313.000000
3000,112720137.000000,39265706.000000,49297829.000000,12682578.000000
3500,153380486.000000,53428457.000000,67045551.000000,17665769.000000
4000,201853427.000000,70740290.000000,87701555.000000,26762571.000000
4500,255552414.000000,90072525.000000,111717173.000000,32414589.000000
5000,315326851.000000,110598028.000000,137054299.000000,36678294.000000
5500,381513321.000000,133816800.000000,165708104.000000,43506096.000000
6000,454009411.000000,159064806.000000,198971699.000000,58360418.000000
6500,532835443.000000,186755709.000000,231364420.000000,62883307.000000
7000,617993838.000000,216605382.000000,268378304.000000,72516710.000000
7500,709346449.000000,248652135.000000,307841646.000000,84334854.000000
8000,807149575.000000,282730946.000000,349720397.000000,106381093.000000
8500,911138937.000000,319402238.000000,395175782.000000,105834556.000000
9000,1021487351.000000,358728116.000000,442274148.000000,111201142.000000
9500,1138057087.000000,398865979.000000,493353191.000000,129007535.000000
10000,1261040808.000000,442028559.000000,550510991.000000,161085035.000000
