N,base_version,fused,unfold_accumulators,unfold_accumulators_avx
500,4775953.000000,294928.000000,1417124.000000,327572.000000
1000,18967041.000000,1164629.000000,5671499.000000,1282791.000000
1500,41752781.000000,2949492.000000,12840199.000000,3190982.000000
2000,74987915.000000,5209783.000000,22825077.000000,5578366.000000
2500,116244119.000000,8488225.000000,35505976.000000,9257363.000000
3000,168390921.000000,12734066.000000,51068148.000000,12677819.000000
3500,226666684.000000,17174602.000000,69489175.000000,17681052.000000
4000,298348600.000000,23170293.000000,91205883.000000,26859907.000000
4500,379135567.000000,29594109.000000,115681743.000000,32516500.000000
5000,468145871.000000,36293434.000000,143119393.000000,36664728.000000
5500,562907562.000000,43700329.000000,172089005.000000,43369972.000000
6000,668090606.000000,52275189.000000,204345919.000000,58425099.000000
6500,783911951.000000,60522160.000000,243228828.000000,62917337.000000
7000,909218242.000000,70918838.000000,278693652.000000,72486179.000000
7500,1043708974.000000,81345187.000000,321861839.000000,84762846.000000
8000,1188657185.000000,93012739.000000,364691512.000000,106709193.000000
8500,1338677714.000000,103989643.000000,410938453.000000,105537336.000000
9000,1504343533.000000,120346452.000000,460603273.000000,110077774.000000
9500,1678153580.000000,130583270.000000,512498348.000000,128873341.000000
10000,1848200103.000000,148115907.000000,567972376.000000,162428111.000000
