N,D,base_version,fast_scalar,fast_scalar_avx,fast_scalar_8x8x8_avx,fast_scalar_8x8x8_avx_with_start
500,500,216591768.000000,39571533.000000,28809510.000000,11638818.000000,11253328.000000
1000,500,865660448.000000,158040119.000000,114622814.000000,43748137.000000,43057889.000000
1500,500,1947120935.000000,355227518.000000,260923518.000000,100071508.000000,99114410.000000
2000,500,3462776464.000000,639216669.000000,469607240.000000,176622241.000000,178654698.000000
2500,500,5417621375.000000,1008786068.000000,748700289.000000,284821639.000000,282456060.000000
3000,500,7841568963.000000,1522573214.000000,1148204226.000000,449439881.000000,447622232.000000
3500,500,10668719627.000000,2115627800.000000,1608810409.000000,624062068.000000,623627460.000000
4000,500,13936617540.000000,2814159450.000000,2128292845.000000,819202288.000000,816049030.000000
4500,500,17651242490.000000,3600039471.000000,2765139335.000000,1054010641.000000,1050623661.000000
5000,500,21789665559.000000,4540959367.000000,3487943849.000000,1324956038.000000,1323356310.000000
5500,500,26370260594.000000,5546874822.000000,4298808705.000000,1612691625.000000,1613743857.000000
6000,500,31371954969.000000,6645962857.000000,5168604928.000000,1930550070.000000,1932144383.000000
6500,500,36839602466.000000,7893438431.000000,6146599437.000000,2286280141.000000,2290126564.000000
7000,500,42729160224.000000,8787575869.000000,6867218791.000000,2506040596.000000,2659914958.000000
7500,500,49023902617.000000,10564628965.000000,8329570020.000000,3069811042.000000,3072521701.000000
8000,500,55743036936.000000,12125200176.000000,9513700150.000000,3475654748.000000,3476517568.000000
8500,500,62964654480.000000,13138451792.000000,10296314534.000000,3745962601.000000,3780530182.000000
9000,500,69967415173.000000,15445304744.000000,11610457762.000000,4449343094.000000,4462707050.000000
9500,500,75475123178.000000,16579515357.000000,13078337714.000000,4769567004.000000,4777208264.000000
10000,500,87245218565.000000,19338573058.000000,15231962464.000000,5577911616.000000,5581557169.000000
500,200,82608633.000000,17380810.000000,11218708.000000,4678809.000000,4495955.000000
1000,200,331102373.000000,69112405.000000,44655213.000000,17756405.000000,17426288.000000
1500,200,745521326.000000,155936042.000000,107467446.000000,41939720.000000,41799760.000000
2000,200,1328600105.000000,277784308.000000,193320742.000000,74338578.000000,74350401.000000
2500,200,2072437670.000000,433687101.000000,303463258.000000,117704786.000000,117532450.000000
3000,200,3012782694.000000,652971437.000000,465996881.000000,195534607.000000,195766478.000000
3500,200,4105695633.000000,892408274.000000,638417950.000000,267710860.000000,268582375.000000
4000,200,5367242531.000000,1171730602.000000,840326869.000000,353480208.000000,354513250.000000
4500,200,6795507675.000000,1487175286.000000,1071632540.000000,452559486.000000,453791832.000000
5000,200,8385806226.000000,1839580058.000000,1335473427.000000,563728551.000000,562408566.000000
5500,200,10163375633.000000,2256853174.000000,1636314887.000000,691909277.000000,695033057.000000
6000,200,12089083119.000000,2693343478.000000,1966356691.000000,829100938.000000,832576054.000000
6500,200,14198453391.000000,3195336250.000000,2344185274.000000,985535026.000000,990205008.000000
7000,200,16467109492.000000,3718971917.000000,2755632720.000000,1154996416.000000,1159107270.000000
7500,200,18915695329.000000,4311751736.000000,3191652734.000000,1332698351.000000,1344666578.000000
8000,200,21523867393.000000,4951130037.000000,3701174766.000000,1524043657.000000,1531378774.000000
8500,200,24323557898.000000,5628906132.000000,4171300544.000000,1729822442.000000,1737864058.000000
9000,200,27275133219.000000,6345100278.000000,4766319962.000000,1971171018.000000,1981963270.000000
