N,D,base_version,fast_scalar,fast_scalar_avx,fast_scalar_avx_start_matter,fast_scalar_8x8x8_avx,fast_scalar_8x8x8_avx_with_start
9,9,2052.000000,1270.000000,1515.000000,702.000000,1622.000000,1300.000000
9,18,4461.000000,2038.000000,1603.000000,1672.000000,1728.000000,1076.000000
9,36,5578.000000,3372.000000,3884.000000,1883.000000,4034.000000,1560.000000
9,72,11314.000000,6148.000000,3867.000000,1513.000000,4036.000000,2169.000000
9,144,24559.000000,11360.000000,7571.000000,4230.000000,9648.000000,4631.000000
9,288,55492.000000,31734.000000,19441.000000,8575.000000,20225.000000,8827.000000
9,576,109802.000000,60740.000000,37064.000000,15811.000000,38640.000000,15883.000000
9,1152,220836.000000,121109.000000,60711.000000,23004.000000,66287.000000,22959.000000
9,2304,411335.000000,169712.000000,123254.000000,47988.000000,134032.000000,47874.000000
9,4608,829187.000000,343861.000000,250532.000000,99234.000000,270498.000000,98765.000000
18,9,4744.000000,3784.000000,4189.000000,3050.000000,4688.000000,4016.000000
18,18,14287.000000,9676.000000,6891.000000,5647.000000,6372.000000,5163.000000
18,36,28958.000000,16990.000000,11201.000000,8596.000000,10215.000000,7655.000000
18,72,53066.000000,28772.000000,15660.000000,5267.000000,9606.000000,4450.000000
18,144,87454.000000,36001.000000,19384.000000,9370.000000,18038.000000,7764.000000
18,288,182767.000000,69120.000000,38392.000000,19030.000000,37151.000000,15116.000000
18,576,372601.000000,134671.000000,77359.000000,39905.000000,73528.000000,30823.000000
18,1152,751582.000000,264691.000000,159924.000000,85939.000000,150751.000000,65760.000000
18,2304,1512141.000000,526889.000000,328567.000000,183798.000000,306807.000000,141490.000000
18,4608,3043217.000000,1069060.000000,669982.000000,400822.000000,620906.000000,314628.000000
36,9,15956.000000,12727.000000,10282.000000,8943.000000,8314.000000,6853.000000
36,18,30215.000000,20921.000000,13620.000000,11710.000000,11385.000000,9364.000000
36,36,68712.000000,37231.000000,20794.000000,16835.000000,17810.000000,13640.000000
36,72,147842.000000,69606.000000,28808.000000,19251.000000,23996.000000,13962.000000
36,144,332020.000000,123425.000000,54180.000000,35022.000000,44897.000000,24590.000000
36,288,693865.000000,237947.000000,110405.000000,73689.000000,91729.000000,49227.000000
36,576,1419759.000000,461293.000000,222667.000000,150781.000000,179290.000000,96331.000000
36,1152,2875925.000000,906888.000000,474646.000000,332137.000000,380935.000000,216727.000000
36,2304,5788493.000000,1805182.000000,988867.000000,712139.000000,769415.000000,454109.000000
36,4608,11631586.000000,3698667.000000,2023158.000000,1520958.000000,1586198.000000,1009923.000000
72,9,57472.000000,46416.000000,36327.000000,33587.000000,22757.000000,19972.000000
72,18,111771.000000,77094.000000,47366.000000,43257.000000,30569.000000,26515.000000
72,36,260691.000000,136697.000000,69940.000000,61965.000000,49436.000000,40520.000000
72,72,568418.000000,259564.000000,93422.000000,74653.000000,61082.000000,39983.000000
72,144,1280431.000000,459816.000000,174290.000000,137793.000000,114607.000000,70733.000000
72,288,2713589.000000,877208.000000,355034.000000,284256.000000,219654.000000,136073.000000
72,576,5553526.000000,1694640.000000,728324.000000,591233.000000,426494.000000,264532.000000
72,1152,11248361.000000,3332169.000000,1580321.000000,1306153.000000,917007.000000,602878.000000
72,2304,22621140.000000,6644811.000000,3311709.000000,2817739.000000,1906291.000000,1330829.000000
72,4608,45422451.000000,13565945.000000,6841829.000000,6126632.000000,4267465.000000,3381080.000000
144,9,221758.000000,176269.000000,137200.000000,131512.000000,79545.000000,74281.000000
144,18,432416.000000,295518.000000,176056.000000,167656.000000,106013.000000,98697.000000
144,36,1012014.000000,524000.000000,254385.000000,239271.000000,168643.000000,150034.000000
144,72,2286704.000000,1002953.000000,335056.000000,295743.000000,189346.000000,145407.000000
144,144,5085313.000000,1773448.000000,615624.000000,547078.000000,342449.000000,253607.000000
144,288,10726122.000000,3363535.000000,1265017.000000,1129051.000000,658334.000000,490892.000000
144,576,21973962.000000,6489429.000000,2616721.000000,2355607.000000,1264182.000000,951803.000000
144,1152,44459529.000000,12780848.000000,5730426.000000,5227367.000000,2884064.000000,2291397.000000
144,2304,89420814.000000,25334512.000000,12149077.000000,11314791.000000,6403494.000000,5409764.000000
144,4608,179454489.000000,51900870.000000,24773765.000000,23572484.000000,13503831.000000,11930579.000000
