N,D,base_version,fast_scalar,fast_scalar_avx,fast_scalar_avx_start_matter,fast_scalar_8x8x8_avx,fast_scalar_8x8x8_avx_with_start
8,8,1631.000000,1141.000000,855.000000,469.000000,1435.000000,798.000000
8,16,2078.000000,1520.000000,1670.000000,960.000000,1219.000000,1087.000000
8,32,6388.000000,4146.000000,1801.000000,707.000000,2642.000000,1411.000000
8,64,11282.000000,7082.000000,4634.000000,2016.000000,4609.000000,1195.000000
8,128,17473.000000,8585.000000,5811.000000,2062.000000,6147.000000,3231.000000
8,256,39253.000000,23225.000000,15783.000000,6629.000000,16322.000000,6803.000000
8,512,80134.000000,46458.000000,30128.000000,12133.000000,30340.000000,12237.000000
8,1024,156656.000000,93615.000000,59496.000000,25511.000000,58772.000000,26135.000000
8,2048,314716.000000,184724.000000,114856.000000,50224.000000,116932.000000,50321.000000
8,4096,628487.000000,261270.000000,238737.000000,109027.000000,219297.000000,82785.000000
16,8,3616.000000,2728.000000,3485.000000,1523.000000,1949.000000,1225.000000
16,16,5962.000000,4364.000000,3006.000000,3328.000000,3794.000000,2734.000000
16,32,19863.000000,12859.000000,6880.000000,4402.000000,5678.000000,3362.000000
16,64,37325.000000,22364.000000,11324.000000,6669.000000,9936.000000,5050.000000
16,128,71713.000000,39769.000000,19895.000000,11091.000000,18118.000000,5233.000000
16,256,129429.000000,50375.000000,28760.000000,13674.000000,27442.000000,10032.000000
16,512,264488.000000,97916.000000,57848.000000,28402.000000,54094.000000,20420.000000
16,1024,534346.000000,193116.000000,118771.000000,73616.000000,109564.000000,55262.000000
16,2048,1073238.000000,390655.000000,244202.000000,146916.000000,226190.000000,112275.000000
16,4096,2153885.000000,787540.000000,496734.000000,318674.000000,452826.000000,243365.000000
32,8,11672.000000,9101.000000,7501.000000,6058.000000,5119.000000,3708.000000
32,16,20843.000000,14754.000000,9237.000000,7086.000000,6517.000000,4425.000000
32,32,52402.000000,26380.000000,13863.000000,9972.000000,10060.000000,5982.000000
32,64,103598.000000,51607.000000,21740.000000,14146.000000,16837.000000,8920.000000
32,128,230062.000000,89420.000000,39798.000000,25073.000000,31295.000000,15179.000000
32,256,488405.000000,174417.000000,82307.000000,53520.000000,63913.000000,30344.000000
32,512,1003664.000000,331873.000000,165205.000000,117918.000000,125128.000000,70026.000000
32,1024,2030527.000000,660702.000000,346276.000000,260775.000000,252422.000000,151721.000000
32,2048,4091939.000000,1312681.000000,720480.000000,554882.000000,537229.000000,343273.000000
32,4096,8212923.000000,2683917.000000,1468771.000000,1236814.000000,1105717.000000,808781.000000
64,8,41702.000000,32589.000000,26225.000000,23081.000000,15293.000000,12567.000000
64,16,77211.000000,53903.000000,31392.000000,27052.000000,18629.000000,14335.000000
64,32,187030.000000,96874.000000,43412.000000,35289.000000,26955.000000,18767.000000
64,64,411498.000000,191416.000000,69632.000000,54202.000000,45573.000000,29740.000000
64,128,888200.000000,332780.000000,126171.000000,97799.000000,82784.000000,50906.000000
64,256,1901730.000000,629501.000000,258067.000000,205531.000000,165245.000000,103098.000000
64,512,3902068.000000,1212651.000000,533758.000000,436880.000000,320334.000000,213229.000000
64,1024,7938865.000000,2386573.000000,1121097.000000,976121.000000,641631.000000,464473.000000
64,2048,15952529.000000,4819061.000000,2357738.000000,2101655.000000,1486145.000000,1163537.000000
64,4096,32049047.000000,9751098.000000,4879815.000000,4666096.000000,4006194.000000,2985071.000000
128,8,192301.000000,138775.000000,132010.000000,126502.000000,52730.000000,47521.000000
128,16,298948.000000,206666.000000,140133.000000,132540.000000,60939.000000,52762.000000
128,32,730882.000000,373304.000000,157243.000000,142417.000000,84550.000000,68252.000000
128,64,1528978.000000,733264.000000,240931.000000,210650.000000,138918.000000,108065.000000
128,128,3506233.000000,1264293.000000,439560.000000,388357.000000,251550.000000,184688.000000
128,256,7688403.000000,2391525.000000,906472.000000,820335.000000,484982.000000,573971.000000
128,512,15656176.000000,4613775.000000,1875678.000000,1690463.000000,1299489.000000,717225.000000
128,1024,31247237.000000,9155326.000000,3968670.000000,3712311.000000,1893205.000000,1565369.000000
128,2048,63188798.000000,18201219.000000,8562113.000000,8375209.000000,5153598.000000,4834254.000000
128,4096,126278817.000000,37069093.000000,17442956.000000,17143479.000000,10553624.000000,10072849.000000
256,8,976896.000000,729617.000000,729069.000000,719792.000000,206323.000000,195863.000000
256,16,1295910.000000,851439.000000,748870.000000,734778.000000,226664.000000,211601.000000
256,32,2902830.000000,1452403.000000,840513.000000,811141.000000,295248.000000,260733.000000
256,64,6160497.000000,2881213.000000,954902.000000,901685.000000,472022.000000,413880.000000
256,128,14012511.000000,5004233.000000,1686924.000000,1593552.000000,823179.000000,709303.000000
256,256,29735014.000000,9340050.000000,3425455.000000,3254196.000000,1584810.000000,1356710.000000
256,512,61252127.000000,18117166.000000,7015973.000000,6741685.000000,3095874.000000,2740178.000000
256,1024,124034208.000000,35455320.000000,15715895.000000,15514167.000000,7220326.000000,6840207.000000
256,2048,249757202.000000,70933793.000000,32175067.000000,31821617.000000,17883737.000000,17229356.000000
