N,D,base_version,fast_scalar,fast_scalar_start_matter,fast_scalar_8x8x8_big_unroll
500,500,227300931.000000,66356601.000000,65809028.000000,120289881.000000
1000,500,906716731.000000,262802448.000000,262174153.000000,485581489.000000
1500,500,2037750768.000000,589294654.000000,587686372.000000,1091185666.000000
2000,500,3620450718.000000,1046656095.000000,1045218739.000000,1943172767.000000
2500,500,5655010655.000000,1632775048.000000,1630674436.000000,3035902306.000000
3000,500,8148818174.000000,2361926068.000000,2359149927.000000,4399218753.000000
3500,500,11101121093.000000,3215752815.000000,3212598899.000000,5972445754.000000
4000,500,14510638302.000000,4267588905.000000,4231614845.000000,7821759722.000000
4500,500,18385298450.000000,5434066225.000000,5427894468.000000,9918473873.000000
5000,500,22730900541.000000,6789124175.000000,6783410792.000000,12294061952.000000
5500,500,27540884947.000000,8298913925.000000,8292747058.000000,14877708012.000000
6000,500,32809304240.000000,9954612615.000000,9947085597.000000,17747779359.000000
6500,500,38538828168.000000,11758114598.000000,11750548462.000000,20859883375.000000
7000,500,44727626362.000000,13773814392.000000,13700836620.000000,24275594600.000000
7500,500,51372283374.000000,15802564409.000000,15791351495.000000,27854306841.000000
8000,500,58476998878.000000,18066396141.000000,18054703815.000000,31733005738.000000
8500,500,66043511776.000000,20434517731.000000,20421457246.000000,35850742346.000000
9000,500,74059623272.000000,22986852509.000000,22974229447.000000,40307276738.000000
9500,500,82530216842.000000,25711251093.000000,25695115905.000000,44911888464.000000
10000,500,91475916805.000000,28492105565.000000,28471737258.000000,49769798328.000000
