N,D,base_version,fast_scalar,fast_scalar_avx,fast_scalar_start_matter,fast_scalar_8x8x8_big_unroll,fast_scalar_8x8x8_avx,fast_scalar_8x8x8_avx_with_start
500,500,225198086.000000,30525713.000000,27172737.000000,31050708.000000,156403884.000000,10327755.000000,10336537.000000
1000,500,901563472.000000,122563624.000000,109482271.000000,123894520.000000,636770232.000000,39462446.000000,39483048.000000
1500,500,2028520954.000000,275719549.000000,246075532.000000,278213302.000000,1429183610.000000,88936093.000000,89035561.000000
2000,500,3606162642.000000,489105952.000000,433470065.000000,492598823.000000,2551860765.000000,156415308.000000,156456716.000000
2500,500,5635797416.000000,766111689.000000,681364937.000000,763063344.000000,3981635603.000000,247310161.000000,246137711.000000
3000,500,8127258150.000000,1109612161.000000,991289065.000000,1108534616.000000,5760280719.000000,361277583.000000,361662009.000000
3500,500,11065077169.000000,1527712866.000000,1366693556.000000,1527378281.000000,7828163502.000000,495937991.000000,496880321.000000
4000,500,14471215378.000000,2088323157.000000,1873207264.000000,2091091247.000000,10248759441.000000,666338935.000000,668390496.000000
4500,500,18345282069.000000,2772222310.000000,2507520263.000000,2784064754.000000,12969527666.000000,870461041.000000,872455762.000000
5000,500,22680569397.000000,3570767465.000000,3230546846.000000,3575754784.000000,16051344161.000000,1098067748.000000,1099664071.000000
5500,500,27473434361.000000,4445486419.000000,4025599212.000000,4452529429.000000,19398585919.000000,1340219460.000000,1341772013.000000
6000,500,32734001145.000000,5444765210.000000,4940975041.000000,5457706455.000000,23122087727.000000,1609641918.000000,1611641117.000000
6500,500,38448997623.000000,6544664586.000000,5947061704.000000,6558403059.000000,27140546456.000000,1910793415.000000,1913295546.000000
7000,500,44624109008.000000,7757578967.000000,7047438311.000000,7763120853.000000,31550077037.000000,2236356229.000000,2238087580.000000
7500,500,51254154764.000000,9059560719.000000,8229629573.000000,9074007420.000000,36188232747.000000,2585641540.000000,2589628027.000000
8000,500,58343767960.000000,10498947473.000000,9490609545.000000,10514171824.000000,41215223001.000000,2944539897.000000,2947637989.000000
8500,500,65823030618.000000,11948177869.000000,10788318749.000000,11942334647.000000,46521755509.000000,3357596502.000000,3362944218.000000
9000,500,73824931999.000000,13577700538.000000,12280706046.000000,13570923052.000000,52265282331.000000,3802013240.000000,3806702178.000000
9500,500,82290644393.000000,15226608384.000000,13798417576.000000,15253224687.000000,58163307605.000000,4237136973.000000,4244840382.000000
10000,500,91205677101.000000,17082189456.000000,15485496273.000000,17039643866.000000,64507491619.000000,4713289321.000000,4719905041.000000
