N,D,base_version,fast_scalar,fast_scalar_start_matter,fast_scalar_8x8x8_big_unroll
500,500,227416437.000000,78410653.000000,81594138.000000,88301111.000000
1000,500,907681189.000000,311132235.000000,322839023.000000,349673338.000000
1500,500,2039281961.000000,698185204.000000,722776531.000000,785040137.000000
2000,500,3623628824.000000,1240021342.000000,1283752570.000000,1391626137.000000
2500,500,5660735548.000000,1936819948.000000,2002885808.000000,2176484948.000000
3000,500,8156627083.000000,2794229477.000000,2888825844.000000,3141947613.000000
3500,500,11103244659.000000,3806402970.000000,3934018531.000000,4271575273.000000
4000,500,14528225108.000000,5021934372.000000,5189778624.000000,5591295602.000000
4500,500,18414720674.000000,6402084431.000000,6613223507.000000,7084637751.000000
5000,500,22765666176.000000,7957884608.000000,8217094032.000000,8767229613.000000
5500,500,27575124784.000000,9671622143.000000,9983535644.000000,10588016649.000000
6000,500,32851486691.000000,11566635362.000000,11931457089.000000,12605531215.000000
6500,500,38590630194.000000,13627501043.000000,14055618903.000000,14800981502.000000
7000,500,44789399894.000000,15853931768.000000,16349206565.000000,17200736731.000000
7500,500,51444327447.000000,18242064819.000000,18811576201.000000,19723688734.000000
8000,500,58561039229.000000,20808560871.000000,21461414253.000000,22451359192.000000
8500,500,66142145894.000000,23524799332.000000,24257311869.000000,25347904201.000000
9000,500,74172743164.000000,26402096509.000000,27228179133.000000,28476570651.000000
9500,500,82658798785.000000,29437577964.000000,30391078403.000000,31680815657.000000
10000,500,91623851526.000000,32663597287.000000,33697007846.000000,35127463831.000000
