N,D,base_version,fast_scalar,fast_scalar_avx,fast_scalar_start_matter,fast_scalar_8x8x8_big_unroll,fast_scalar_8x8x8_avx,fast_scalar_8x8x8_avx_with_start
500,1000,459372976.000000,70308143.000000,58819748.000000,72714464.000000,62192871.000000,23153964.000000,22222863.000000
1000,1000,1838361887.000000,279947581.000000,232481350.000000,284140693.000000,240352245.000000,86742180.000000,84955468.000000
1500,1000,4138488009.000000,633212073.000000,525869497.000000,637972452.000000,537583965.000000,195822202.000000,193147882.000000
2000,1000,7364963755.000000,1143575791.000000,952881632.000000,1153155916.000000,954114327.000000,346089657.000000,342778250.000000
2500,1000,11546408722.000000,1922831785.000000,1601772787.000000,1931122892.000000,1513633411.000000,556614608.000000,553120159.000000
3000,1000,16681530037.000000,2921216906.000000,2425136167.000000,2936907223.000000,2195041976.000000,820102554.000000,817378355.000000
3500,1000,22744176347.000000,4072148390.000000,3367465372.000000,4094537038.000000,2994292622.000000,1124481653.000000,1121475076.000000
4000,1000,29755136351.000000,5447737583.000000,4486456420.000000,5471874516.000000,3914453562.000000,1482960969.000000,1480857528.000000
4500,1000,37706649301.000000,6999136199.000000,5751573268.000000,7033047646.000000,4973191152.000000,1885080137.000000,1881535578.000000
5000,1000,46590978129.000000,8748597386.000000,7181104507.000000,8785525680.000000,6141175460.000000,2341302051.000000,2337023324.000000
5500,1000,56412413212.000000,10695814884.000000,8774353145.000000,10738703568.000000,7455239958.000000,2839836879.000000,2836351303.000000
6000,1000,67174181327.000000,12820244193.000000,10502733403.000000,12871990801.000000,8854605647.000000,3401752989.000000,3397690156.000000
6500,1000,78854345318.000000,15176854573.000000,12380732288.000000,15189602013.000000,10432855712.000000,3989124509.000000,3991046752.000000
7000,1000,91481634468.000000,17648229424.000000,14411115106.000000,17710798976.000000,12074772613.000000,4660337470.000000,4655892232.000000
7500,1000,105038612741.000000,20337857689.000000,16597145808.000000,20423469339.000000,13922664261.000000,5348800437.000000,5345221826.000000
8000,1000,119548612489.000000,23373853321.000000,19123744104.000000,23445991956.000000,15814424885.000000,6141383327.000000,6137807325.000000
8500,1000,135009410614.000000,26336494454.000000,23128845959.000000,26291679637.000000,17959533839.000000,7986702951.000000,7981181395.000000
9000,1000,151398491437.000000,30837347226.000000,25977491857.000000,29528817632.000000,20102353810.000000,8975679858.000000,8970379930.000000
9500,1000,168697875544.000000,33067089568.000000,29051324328.000000,33006731203.000000,22440256938.000000,10002515878.000000,9993725369.000000
10000,1000,186960774648.000000,36692789094.000000,32278573650.000000,36633474574.000000,24868127556.000000,11120937409.000000,11116189831.000000
