N,base_version,unrolling,blocking
8,723.000000,334.000000,472.000000
16,1994.000000,831.000000,988.000000
32,8711.000000,3143.000000,3925.000000
64,34085.000000,6930.000000,8330.000000
128,142798.000000,40856.000000,33766.000000
256,677121.000000,293668.000000,164851.000000
512,3859516.000000,1867034.000000,625292.000000
1024,20376824.000000,10862737.000000,5031790.000000
2048,106781723.000000,74415916.000000,25311191.000000
4096,456967723.000000,296304258.000000,104118572.000000
8192,1755740580.000000,1364818782.000000,410438336.000000
