N,base_version,unrolling,blocking,blocking2,blocking3
500,539903.000000,725537.000000,429976.000000,411954.000000,291588.000000
1000,2718954.000000,3355042.000000,1947004.000000,1892817.000000,1254121.000000
1500,7784672.000000,9253375.000000,4978861.000000,4819379.000000,3719708.000000
2000,21945337.000000,21582157.000000,10257995.000000,9952344.000000,7626405.000000
2500,42752276.000000,41645113.000000,16602528.000000,16306389.000000,13680798.000000
3000,69256766.000000,67317722.000000,24638397.000000,23745727.000000,19064133.000000
3500,105723893.000000,101404193.000000,34791867.000000,34520899.000000,29231151.000000
4000,146051807.000000,134539155.000000,46708381.000000,45477823.000000,36905199.000000
4500,196983523.000000,185333193.000000,62412270.000000,61404923.000000,53180518.000000
5000,263270570.000000,240841920.000000,79898464.000000,77193750.000000,65452377.000000
5500,333827927.000000,307519561.000000,100104147.000000,97433401.000000,86043738.000000
6000,412589554.000000,375726559.000000,124349462.000000,120669289.000000,105574103.000000
6500,506808208.000000,457102535.000000,150782578.000000,147747647.000000,136263459.000000
7000,610583633.000000,547113684.000000,177446212.000000,173369570.000000,154206830.000000
7500,723993347.000000,650535061.000000,218038359.000000,210370584.000000,189137193.000000
8000,857514879.000000,749635966.000000,241426137.000000,236961417.000000,211141760.000000
8500,979778681.000000,860014117.000000,274999028.000000,268679125.000000,248573561.000000
9000,1111593411.000000,965398544.000000,300084460.000000,298051092.000000,271458266.000000
9500,1270832018.000000,1088015069.000000,344174321.000000,342596697.000000,317312371.000000
10000,1416848466.000000,1204574559.000000,374837514.000000,373789661.000000,343707564.000000
