N,base_version,unrolling,blocking,blocking2,blocking3
500,1933880.000000,517346.000000,586536.000000,586142.000000,291717.000000
1000,8267403.000000,2333117.000000,2432155.000000,2512318.000000,1275041.000000
1500,21041672.000000,8588726.000000,8631346.000000,8537801.000000,5717851.000000
2000,37254436.000000,14893728.000000,13628027.000000,13652016.000000,8810137.000000
2500,59754093.000000,24461190.000000,25100041.000000,25007511.000000,16956715.000000
3000,84390714.000000,36895736.000000,36626744.000000,36724356.000000,25471870.000000
3500,118981309.000000,50958696.000000,49655311.000000,49449835.000000,34111164.000000
4000,178362529.000000,98005206.000000,56668295.000000,56936851.000000,40595137.000000
4500,196705779.000000,84478437.000000,82633365.000000,82424393.000000,56750199.000000
5000,240190975.000000,114452228.000000,101583456.000000,98695678.000000,69322012.000000
5500,299917436.000000,133493816.000000,124799317.000000,124063055.000000,85788900.000000
6000,352954729.000000,170270141.000000,135611229.000000,135421630.000000,93625754.000000
6500,427658030.000000,194721873.000000,174151012.000000,173848764.000000,119968769.000000
7000,492432784.000000,239967428.000000,202904847.000000,202608507.000000,145062856.000000
7500,582385456.000000,267272520.000000,230268047.000000,230165203.000000,160457151.000000
8000,861422953.000000,495737856.000000,246472123.000000,246544994.000000,176403786.000000
8500,760325455.000000,352934154.000000,296259720.000000,295947917.000000,205953961.000000
9000,835014168.000000,385581298.000000,335537400.000000,335265255.000000,239177808.000000
9500,945381932.000000,444639627.000000,371044948.000000,370984955.000000,259307997.000000
10000,1028111204.000000,462705490.000000,389921496.000000,388624457.000000,268274918.000000
