N,base_version,unrolling,blocking,blocking2,blocking3
500,1287276.000000,692413.000000,405243.000000,402233.000000,267801.000000
1000,5571458.000000,3248476.000000,1850718.000000,1832436.000000,1171322.000000
1500,14376412.000000,8630012.000000,4664579.000000,4646550.000000,3525241.000000
2000,25114432.000000,15854807.000000,9878112.000000,9717519.000000,7280982.000000
2500,42714528.000000,28206006.000000,15233294.000000,15133832.000000,13308355.000000
3000,58526433.000000,40846950.000000,24547199.000000,24155423.000000,19472460.000000
3500,86078408.000000,58390443.000000,31387807.000000,31573086.000000,27329711.000000
4000,132787827.000000,100439244.000000,47269406.000000,46604236.000000,36053524.000000
4500,142545343.000000,96754175.000000,52551752.000000,53014158.000000,46304335.000000
5000,168807099.000000,128386148.000000,66956923.000000,66869551.000000,53537685.000000
5500,217128532.000000,151530569.000000,79350235.000000,80363377.000000,69803258.000000
6000,249214894.000000,185588156.000000,110400084.000000,110163779.000000,84117765.000000
6500,311400584.000000,221009814.000000,112969100.000000,113419678.000000,98976785.000000
7000,350658826.000000,259391973.000000,139456690.000000,138025577.000000,114389908.000000
7500,423668081.000000,301410177.000000,152142623.000000,153566448.000000,131547512.000000
8000,683190640.000000,503758734.000000,174747267.000000,180555891.000000,148747067.000000
8500,556639792.000000,397019450.000000,197931867.000000,197593901.000000,170408158.000000
9000,597216987.000000,420246715.000000,211967293.000000,214324126.000000,182202097.000000
9500,687578746.000000,499703814.000000,247862756.000000,252395756.000000,213340935.000000
10000,742880168.000000,507059122.000000,268572229.000000,273869755.000000,230471960.000000
