N,base_version,unrolling,blocking,blocking2,blocking3
500,549708.000000,693869.000000,405012.000000,403683.000000,271818.000000
1000,2633326.000000,3236476.000000,1830294.000000,1768419.000000,1106683.000000
1500,7560034.000000,8739935.000000,4694370.000000,4682903.000000,3599396.000000
2000,14048091.000000,15710565.000000,9823658.000000,9571499.000000,7190191.000000
2500,26241987.000000,28213477.000000,15151574.000000,15093605.000000,13426305.000000
3000,35513611.000000,41063520.000000,24549711.000000,23722059.000000,19351290.000000
3500,55207697.000000,58363349.000000,31517557.000000,31748650.000000,27611529.000000
4000,92919808.000000,100884762.000000,47289478.000000,45723182.000000,35653254.000000
4500,92344507.000000,96422599.000000,52844132.000000,53172408.000000,46763541.000000
5000,106977039.000000,128604515.000000,66793050.000000,66397898.000000,53012293.000000
5500,142618545.000000,151602125.000000,79183814.000000,80438739.000000,70719663.000000
6000,162113477.000000,186104082.000000,110811220.000000,107798858.000000,83813275.000000
6500,208794828.000000,221442553.000000,113982283.000000,113606217.000000,100070420.000000
7000,231516627.000000,259298234.000000,138461319.000000,134942608.000000,113530318.000000
7500,287008208.000000,301574187.000000,151827519.000000,153709444.000000,132735604.000000
8000,527300784.000000,507962216.000000,175142005.000000,180312310.000000,147252685.000000
8500,382977086.000000,397199396.000000,198411579.000000,198230849.000000,172033595.000000
9000,401140604.000000,420686551.000000,213164275.000000,213424487.000000,181486668.000000
9500,469675154.000000,499759771.000000,248446272.000000,251970342.000000,215666275.000000
10000,501229811.000000,508224480.000000,268737531.000000,273873107.000000,229598467.000000
