N,pairwise_squared_euclidean_distance,pairwise_affinity_perplexity,symmetrize_affinities,low_dimensional_affinities,gradient_computation_update_normalize,total
500,18163018.000000,22595693.000000,341599.000000,582840807.000000,297465289.000000,921406406.000000
1000,68186230.000000,76553867.000000,1452992.000000,2306757935.000000,1260821111.000000,3713772135.000000
1500,152702087.000000,167290496.000000,3713857.000000,5372873127.000000,3092280070.000000,8788859637.000000
2000,278812456.000000,297489212.000000,7109236.000000,10951286889.000000,5808021999.000000,17342719792.000000
2500,470080300.000000,478092829.000000,15713844.000000,18311152849.000000,8974203550.000000,28249243372.000000
3000,698259537.000000,684620391.000000,22773161.000000,26761439899.000000,12662122817.000000,40829215805.000000
3500,962596393.000000,935332500.000000,33073885.000000,37166004762.000000,17644456172.000000,56741463712.000000
4000,1264849881.000000,1167353223.000000,41783676.000000,50124259518.000000,25244871764.000000,77843118062.000000
4500,1588237367.000000,1494504621.000000,55231530.000000,63997124583.000000,30370052114.000000,97505150215.000000
5000,1972303192.000000,1844786353.000000,66071978.000000,80224555005.000000,38709628352.000000,122817344880.000000
5500,2424252629.000000,2268048746.000000,89115181.000000,98194111353.000000,59113903405.000000,162089431314.000000
6000,2880482732.000000,2667315264.000000,104477663.000000,118827162095.000000,64407333299.000000,188886771053.000000
6500,3424502975.000000,3166843676.000000,135746843.000000,138827755972.000000,72721657271.000000,218276506737.000000
7000,3971043631.000000,3715883629.000000,156251480.000000,162592463590.000000,82675125635.000000,253110767965.000000
7500,4663022050.000000,4341043933.000000,190957191.000000,188037764955.000000,95810532324.000000,293043320453.000000
8000,5228192585.000000,4847021708.000000,211090717.000000,225066961610.000000,114926099564.000000,350279366184.000000
8500,5908074081.000000,5527988725.000000,256019131.000000,236156187763.000000,116982434067.000000,364830703767.000000
9000,6202980532.000000,5784484081.000000,264452155.000000,274303318829.000000,127932804206.000000,414488039803.000000
9500,7441680133.000000,6994334436.000000,316428387.000000,310147011007.000000,145766208572.000000,470665662535.000000
10000,8313555733.000000,7909013947.000000,341455554.000000,347909072748.000000,177478019381.000000,541951117363.000000
