N,pairwise_squared_euclidean_distance,pairwise_affinity_perplexity,symmetrize_affinities,low_dimensional_affinities,gradient_computation_update_normalize,total
500,202478764.000000,22638636.000000,612615.000000,734350664.000000,166990428.000000,1127071107.000000
1000,807279956.000000,85224748.000000,3309853.000000,4459468897.000000,799821452.000000,6155104906.000000
1500,1813550328.000000,187749191.000000,9155556.000000,11648779222.000000,2086137486.000000,15745371783.000000
2000,3234452270.000000,322991119.000000,23577853.000000,23136704098.000000,3716807206.000000,30434532546.000000
2500,5054642690.000000,506643363.000000,45578554.000000,40905971871.000000,6057407926.000000,52570244404.000000
3000,7274752391.000000,716537079.000000,72200195.000000,66587411039.000000,8710570320.000000,83361471024.000000
3500,9910235545.000000,984594772.000000,107128849.000000,97158002738.000000,12781814714.000000,120941776618.000000
4000,12925413950.000000,1267207447.000000,149397002.000000,135632773484.000000,17244916290.000000,167219708173.000000
4500,16342728250.000000,1623444794.000000,198297904.000000,182166259493.000000,24073238301.000000,224403968742.000000
5000,20184591496.000000,1992294125.000000,257327578.000000,234662760500.000000,33060312815.000000,290157286514.000000
5500,24427615191.000000,2446711744.000000,331707256.000000,300541333152.000000,42089687400.000000,369837054743.000000
6000,29143467024.000000,2906514717.000000,407779081.000000,372978434060.000000,53959294342.000000,459395489224.000000
6500,34166160294.000000,3453010256.000000,504177554.000000,454309034179.000000,60492646210.000000,552925028493.000000
7000,39579253113.000000,4023403733.000000,608079603.000000,547616418723.000000,72906875023.000000,664734030195.000000
7500,45443019446.000000,4659429212.000000,708199536.000000,652310263774.000000,79454478344.000000,782575390312.000000
8000,51793677619.000000,5299133708.000000,830751527.000000,779697190201.000000,91928098081.000000,929548851136.000000
8500,58473490689.000000,6081566887.000000,973975318.000000,879134660218.000000,102178609579.000000,1046842302691.000000
9000,65461094536.000000,6810645762.000000,1115675165.000000,1004540630896.000000,115113425869.000000,1193041472228.000000
9500,72967514393.000000,7671498158.000000,1254100466.000000,1130198491158.000000,127164340300.000000,1339255944475.000000
10000,80856659332.000000,8550105581.000000,1400333836.000000,1271766961107.000000,139954920192.000000,1502528980048.000000
