N,pairwise_squared_euclidean_distance,pairwise_affinity_perplexity,symmetrize_affinities,low_dimensional_affinities,gradient_computation_update_normalize,total
500,62840234.000000,21181778.000000,656115.000000,206557709.000000,1402517485.000000,1693753321.000000
1000,256318740.000000,80533677.000000,3058488.000000,955425639.000000,5671718980.000000,6967055524.000000
1500,604989920.000000,186538405.000000,8675327.000000,2481982518.000000,12718987641.000000,16001173811.000000
2000,1134499367.000000,312087581.000000,23278351.000000,4245341992.000000,22656792284.000000,28371999575.000000
2500,1736802433.000000,489497611.000000,48684931.000000,6953178300.000000,35510296789.000000,44738460064.000000
3000,2666458898.000000,710261562.000000,69666599.000000,10661429597.000000,51141832741.000000,65249649397.000000
3500,3693552109.000000,981209453.000000,108370669.000000,15625709333.000000,69553368763.000000,89962210327.000000
4000,4856215082.000000,1237528812.000000,150402811.000000,20495483695.000000,90533475890.000000,117273106290.000000
4500,6250115977.000000,1586245311.000000,200345560.000000,26912099660.000000,114961984929.000000,149910791437.000000
5000,7799840731.000000,1977904240.000000,261263637.000000,34867372708.000000,142899596901.000000,187805978217.000000
5500,9472563398.000000,2398245512.000000,345036444.000000,43602971861.000000,171306075708.000000,227124892923.000000
6000,11329924500.000000,2846382129.000000,420760383.000000,49401420948.000000,198163338200.000000,262161826160.000000
6500,12528455678.000000,3102409637.000000,485478232.000000,58613902219.000000,221323829210.000000,296054074976.000000
7000,14625415285.000000,3603025351.000000,579666702.000000,72099208396.000000,262490134767.000000,353397450501.000000
7500,17918155954.000000,4538730823.000000,737482329.000000,86818313581.000000,321870680456.000000,431883363143.000000
8000,20478826849.000000,5180942649.000000,859318264.000000,101321854345.000000,362492897234.000000,490333839341.000000
8500,23177285715.000000,5916347468.000000,984132152.000000,111642963977.000000,407876312708.000000,549597042020.000000
9000,25951243163.000000,6646137032.000000,1128994706.000000,130057870074.000000,463276466911.000000,627060711886.000000
9500,29121013509.000000,7495809696.000000,1279273317.000000,145816491079.000000,509228322972.000000,692940910573.000000
10000,32314463649.000000,8437846809.000000,1464007682.000000,160126682746.000000,565560852378.000000,767903853264.000000
