,pairwise_squared_euclidean_distance,pairwise_affinity_perplexity,symmetrize_affinities,low_dimensional_affinities,gradient_computation_update_normalize,total
0,16225949.666667001,143371480.66666698,468314.0,800421349.333333,358072510.666667,1318559604.333334
1,61184454.0,561050775.0,1723714.0,3333080171.333333,1418631043.0,5375670157.333333
2,134729073.66666698,1252572592.666667,4875666.0,8355996364.666666,3710578429.0,13458752126.0
3,240788888.0,2207980453.333333,8568852.666667,13759385822.666666,6952241864.333333,23168965881.0
4,379534560.0,3430367897.0,16756851.666667001,24956314566.33333,11003406886.0,39786380761.0
5,560594918.333333,4926720393.666666,25118427.333332997,36651259137.33333,15398246004.0,57561938880.66666
6,786658927.666667,6686821636.0,33480062.0,51306689328.66666,21490291159.666664,80303941113.99998
7,1039350983.0,8697822371.666666,40536504.666667,57535384997.33333,29482251497.333324,96795346353.99998
8,1340874530.666667,10995729350.666666,56210404.66666701,73159023697.0,35814230622.0,121366068605.0
9,1665897088.666667,13533291625.0,68537702.0,91392916101.66664,40775005902.33333,147435648419.66663
10,2048242778.6666672,16354786608.666666,85906703.666667,128406652597.0,51676595927.0,198572184615.0
11,2418419341.0,19435045722.33333,93635318.0,137755976417.0,65166504162.33333,224869580960.66663
12,2868071125.666667,22812388889.33333,121340465.333333,156354943403.3333,72088691623.0,254245435506.66663
13,3335356867.666667,26425862131.0,144871260.66666698,195765167699.0,81941192741.0,307612450699.3334
14,3861748065.333333,30250831496.333324,160489565.33333302,215752130379.33328,97805842917.33331,347831042423.6666
15,4402060812.0,34422993669.0,176586218.33333302,252122588976.0,118270767353.0,409394997028.3333
16,5016429393.666666,38847456772.66666,206992525.66666698,270218183223.0,125569718713.0,439858780628.0
17,5611479508.0,43557238661.33333,239495216.33333302,350265281462.6666,132900882871.66666,532574377720.0
18,6285777794.666666,48408009135.33333,259773565.66666698,334240272573.0,152679871169.3333,541873704237.99994
19,6989371523.0,53610659244.33333,269740417.333333,373466283226.3333,179033948003.0,613370002414.0
