,pairwise_squared_euclidean_distance,pairwise_affinity_perplexity,symmetrize_affinities,low_dimensional_affinities,gradient_computation_update_normalize,total
0,18547754.666667003,20416287.333332997,268182.0,621083444.666667,330587494.666667,990903163.333334
1,70099767.0,74822334.666667,1122990.666667,2466537960.666667,1314710914.666667,3927293967.666668
2,156929439.33333302,169035391.0,3216810.0,5614202061.0,3269568868.333333,9212952569.666666
3,278523956.333333,290218700.666667,7288508.333333001,10289343152.666666,6456181110.333333,17321555428.333332
4,442488284.666667,456940186.333333,12981858.666667,16063648872.666666,9416516123.666666,26392575326.0
5,651508087.666667,653436375.0,19485939.666667003,23907901449.666668,13625225768.666666,38857557620.666664
6,909941523.666667,889946923.0,27107452.666667003,33239932257.0,18273688993.33333,53340617149.666664
7,1205173421.0,1143883709.666667,36095930.666667,51476912823.0,27325191940.33333,81187257824.66666
8,1536245415.333333,1460416612.0,46030282.333333,54377224349.333336,32820195373.0,90240112032.0
9,1904494488.0,1797037079.0,52863723.0,79660220245.66667,36814782849.333336,120229398385.0
10,2325554056.333333,2194346600.333333,71519943.333333,103151474156.0,43625124516.333336,151368019272.33334
11,2790199732.0,2599838393.666667,84788580.333333,109157735520.66669,59047412805.66665,173679975032.33334
12,3291924933.333333,3060172897.333333,98045216.666667,146218573721.66663,62864955605.66665,215533672374.66663
13,3815021429.333333,3539217834.666667,113956874.666667,137267567066.3333,72816274178.0,217552037382.99997
14,4404619429.333333,4102936962.0,130647629.666667,156044981339.66663,84338169928.66667,249021355289.3333
15,5034260356.666667,4657957085.0,147846212.66666698,219945160718.66663,107525507619.66669,337310731992.6666
16,5717242487.666667,5345569765.333333,168860535.0,237431248386.3333,105395065667.33331,354057986841.6666
17,6406482295.333333,5952382004.333333,181335022.33333302,228550146235.3333,110456496809.33331,351546842366.6666
18,7184979005.333333,6677598478.666667,212617329.33333302,253416710454.6666,129420734129.0,396912639396.99994
19,7970584982.666667,7424342193.666667,230193004.66666698,330234517844.6667,162182201471.0,508041839496.6667
