N,pairwise_squared_euclidean_distance,pairwise_affinity_perplexity,symmetrize_affinities,low_dimensional_affinities,gradient_computation_update_normalize,total
0,388032396.666667,194080737.0,2107802.333333,1852808620.0,1017155838.0,3454185394.0
1,1554087047.666667,779762505.0,8712266.333333,8667342983.666666,4080573652.333333,15090478455.0
2,3478837020.333333,1741475634.333333,21244563.666667003,31556814907.333324,9306619298.333332,46104991423.999985
3,6174205762.666666,3062806735.333333,37239390.0,38207867764.66666,16538250073.666666,64020369726.33332
4,9659339236.0,4775977735.333333,60257692.33333299,63419026269.66665,25953591621.666664,103868192554.99997
5,13939428356.0,6858309888.666666,84998233.0,110230238926.33331,37826057680.0,168939033083.99997
6,18962164658.33333,9294573519.666666,120614729.333333,138533016789.0,51507289231.0,218417658927.3333
7,24786848492.666664,12124614714.666666,180387998.33333302,199085051775.0,67145320810.66665,303322223791.3333
8,31389657558.0,15333728155.666666,199655084.66666698,236861165420.0,85421292331.33331,369205498549.6666
9,38772468280.0,18865884057.666664,243677115.0,301424616990.6666,105051399268.66664,464358045711.99994
10,46953650445.66666,22826446358.666664,304351822.0,642046599842.0,127126751215.3333,839257799683.6665
11,55889811250.66666,27107162187.666664,358579430.333333,777372422805.6666,150902994421.0,1011630970095.3333
12,65615607699.0,31799074479.666664,434059211.666667,534833203649.6666,177075266451.0,809757211491.0
13,76075815227.66666,36822654516.66666,501378527.0,629324916614.6665,205813199905.33328,948537964791.333
14,87368171363.33331,42300694252.33333,591660766.666667,1004763012140.6666,235685654366.3333,1370709192889.3333
15,99403909806.0,48006805846.66666,872652065.666667,987207087444.333,268527494685.3333,1404017949847.9995
16,112221599900.0,54170711484.33333,772064344.666667,990258424158.6664,302949280668.6666,1460372080556.333
17,125801843529.66666,60705842868.33333,849299707.666667,1063517611582.0,340929796080.6666,1591804393768.3335
18,140251464583.0,67547035356.33333,960423630.333333,2161650047402.0,378103830698.0,2748512801669.6665
19,155375849975.3333,74877920436.33331,1044047513.333333,1980243844040.666,419506025412.66656,2631047687378.3325
