N,pairwise_squared_euclidean_distance,pairwise_affinity_perplexity,symmetrize_affinities,low_dimensional_affinities,gradient_computation_update_normalize,total
500.0,385577773.666667,143201895.33333302,685950.0,1113283528.666667,335410513.333333,1978159661.0
1000.0,1540954726.666667,561648301.0,3076232.333333,9020660353.666666,1328160573.333333,12454500187.0
1500.0,3466547260.0,1255939255.666667,9676138.333333,24278014812.0,3226209320.666667,32236386786.666668
2000.0,6162585892.333333,2207726640.666667,17233999.666667003,25070935156.666664,5800418611.0,39258900300.33333
2500.0,9653068962.0,3438392670.666667,29512605.666667,78498608490.66666,9254890575.666666,100874473304.66667
3000.0,13901945583.666666,4928654120.333333,41612825.666667,85860309942.33331,13866472823.0,118598995294.99998
3500.0,18942998544.666664,6692217679.666666,62026500.33333299,99967613852.33331,18711252483.666664,144376109060.66663
4000.0,24787699357.33333,8729426823.333332,105283378.0,289561267792.3333,25205891401.33333,348389568752.3333
4500.0,31372758280.333324,11012585815.333332,104743342.666667,335617382738.3333,32360556579.333324,410468026755.99994
5000.0,38764956718.33333,13556035155.0,127559608.333333,443777235250.66656,38968118550.66666,535193905282.9999
5500.0,46915469967.66666,16388257312.666666,164795092.66666698,559195605450.0,46727452133.66666,669391579956.6666
6000.0,55835731179.0,19486428769.0,191480510.66666698,330246130401.33325,55359035598.0,461118806457.99994
6500.0,65551179501.66665,22858051929.0,239103285.33333302,559028762820.0,64329212650.0,712006310186.0
7000.0,76030687227.66666,26481347213.33333,275281181.0,469928623486.6666,74970703364.33331,647686642473.0
7500.0,87324056565.66666,30333353364.666664,332873962.0,918032503304.0,89041697403.0,1125064484599.3333
8000.0,99307219087.66664,34500293491.666664,577699020.333333,691700769409.6666,99770096432.33331,925856077441.6665
8500.0,112129424796.33331,38907694891.66666,438196465.666667,725403182274.0,113886044284.66666,990764542712.3333
9000.0,125725391809.66666,43684139494.66666,477992933.0,806408227569.3331,127978549789.66666,1104274301596.3333
9500.0,140117720808.0,48525286590.33333,544677150.666667,905558670809.0,138211411045.3333,1232957766403.3333
10000.0,155298039920.3333,53715845468.33333,588210851.333333,1693478885421.0,155261806366.66663,2058342788027.6665
