,pairwise_squared_euclidean_distance,pairwise_affinity_perplexity,symmetrize_affinities,low_dimensional_affinities,gradient_computation_update_normalize,total
0,201959776.0,92758268.666667,1285450.333333,1306965405.666667,898747442.333333,2501716343.0
1,801017706.0,366152173.333333,5641486.333333001,10461432709.666666,3601428365.666667,15235672441.0
2,1797919652.3333328,823974247.666667,14506715.666667001,16942957212.0,8294422724.0,27873780551.666668
3,3196378432.666667,1456804184.333333,26412220.666667003,30300076603.0,14698971633.666666,49678643074.33333
4,5000863013.666667,2257424778.666667,42337234.0,86730092149.0,22877495756.666668,116908212932.0
5,7242220932.333333,3245134640.666667,57971648.66666701,76438373009.66667,33519093681.666668,120502793913.00002
6,9897334202.333334,4403426816.333333,85561484.333333,116779988024.6667,46044698381.0,177211008908.6667
7,12961332798.0,5763319219.333333,132452532.666667,169380081425.0,59583794897.66665,247820980872.66666
8,16440500781.0,7276549393.0,142666085.66666698,326242163060.3333,75301213055.66667,425403092375.6667
9,20322613427.33333,8957291647.666666,168409629.33333302,459416898895.6666,93066786010.66669,581931999610.6666
10,24605457012.0,10841831157.0,216458902.33333302,318530141309.0,113445277739.0,467639166119.3333
11,29315956086.666668,12881642887.0,248284924.66666698,604057527815.6666,134021500653.6667,780524912367.6667
12,34423999949.333336,15113027451.0,311641423.0,471122366399.3332,156551975394.33334,677523010616.9999
13,39938810439.333336,17517823983.0,349470387.0,540387297684.3333,182380429757.66663,780573832251.3333
14,45843084629.66666,20074062233.0,421765661.0,625971777188.0,211386915310.0,903697605021.6666
15,52179755027.333336,22827871460.33333,679493936.0,799193228641.6666,238357306060.3333,1113237655125.6665
16,58943282411.333336,25789190110.0,553745190.666667,826739856630.0,268329550128.6666,1180355624470.6665
17,66057552100.0,28954868352.0,593479581.0,1686394116259.0,301398438926.3333,2083398455218.3333
18,73632310159.0,32306867588.666668,685232455.333333,1231022097261.333,340494303033.6667,1678140810497.9998
19,81559536281.0,35714545710.333336,738037752.333333,1125253292749.6667,372229991891.0,1615495404384.3335
