N,pairwise_squared_euclidean_distance,pairwise_affinity_perplexity,symmetrize_affinities,low_dimensional_affinities,gradient_computation_update_normalize,total
500.0,384216298.666667,20155767.333332997,538763.0,720589969.666667,169189958.66666698,1294690757.333334
1000.0,1536568067.666667,74519510.666667,2469261.666667,7618628567.0,704561348.333333,9936746755.333332
1500.0,3456025532.666667,168657809.0,7404247.0,21972430425.666668,2245579843.666667,27850097858.000004
2000.0,6150143279.0,289555202.666667,13772343.0,39194183674.0,4179784596.666667,49827439095.33333
2500.0,9609415113.666666,455319792.666667,25914395.0,36876578953.0,6591892254.666667,53559120508.99999
3000.0,13859721285.333334,646308076.0,34973439.333333,55753323071.66666,9973925009.333334,80268250881.66666
3500.0,18884774315.666668,887406256.333333,54426523.666667,86727381890.0,13370398226.0,119924387211.66667
4000.0,24679708811.666668,1140926353.666667,91669919.333333,131114930562.0,17754785708.666668,174782021355.3333
4500.0,31269123823.0,1457616522.0,91182020.0,309954259912.3333,22180990106.0,364953172383.3333
5000.0,38614492757.0,1792029098.3333328,107541452.666667,194440504986.0,28346979358.0,263301547652.0
5500.0,46740350556.66666,2187991095.666667,143616661.66666698,244824998079.0,34199706215.333324,328096662608.3333
6000.0,55640667191.333336,2585302994.333333,160414453.66666698,288376503341.33325,40678804472.0,387441692452.66656
6500.0,65350568984.0,3049419790.666667,207783495.33333302,532477458897.6666,46482133304.66666,647567364472.3333
7000.0,75777631194.0,3537203767.333333,234514509.66666698,414038277687.33325,56320685753.66665,549908312911.9999
7500.0,87012026195.0,4084121600.333333,290170196.0,616662435052.0,63280718130.66665,771329471174.0
8000.0,98948203645.66669,4640896182.666667,524252604.0,789726700520.0,72620645093.66667,966460698046.0
8500.0,111748189112.0,5276815589.0,389468669.0,922683392736.6666,81849576413.66667,1121947442520.3333
9000.0,125286100968.6667,5930996714.666667,412167547.333333,782426020822.0,93974782583.33331,1008030068636.0
9500.0,139599800361.66666,6655637480.333333,479887452.666667,812140617293.3333,107313712687.66669,1066189655275.6665
10000.0,154681338555.33334,7452077130.0,498594793.666667,1101034046659.3333,117705733246.6667,1381371790385.0
