N,pairwise_squared_euclidean_distance,pairwise_affinity_perplexity,symmetrize_affinities,low_dimensional_affinities,gradient_computation_update_normalize,total
0,110516153.0,195043373.66666698,2285285.0,194962409.66666698,1039033436.333333,1541840657.666667
1,438234834.666667,775436102.666667,9132922.666667,787494709.333333,4164050842.666667,6174349412.000001
2,980087668.666667,1738996378.333333,22185092.333332997,3884718700.666667,9523216549.333332,16149204389.333332
3,1741416659.0,3069805075.666667,39126045.666667,3709377813.666667,16822058296.0,25381783890.0
4,2749544688.0,4782940695.0,62776930.66666701,8291212836.666666,26362183339.666664,42248658490.0
5,4014820328.666667,6874051791.0,88887754.666667,12839878586.666666,37779357774.0,61596996235.0
6,5540986659.666666,9321525172.666666,125815794.0,15746339668.333332,51639698449.33333,82374365744.0
7,7314594295.666666,12152700505.666666,187773671.0,19850874211.33333,67370224986.0,106876167669.66666
8,9334351315.0,15366206539.0,207888506.66666698,27313750212.0,86474278440.66666,138696475013.3333
9,11582610800.333332,18922660598.33333,254283988.66666698,35517083267.33333,104628901388.0,170905540042.66666
10,14101675170.333332,22859720397.0,317721677.666667,42759042944.66666,127690336389.0,207728496578.66666
11,16810468330.333332,27164202158.33333,371438711.333333,45810066056.0,151303795272.66663,241459970528.66663
12,19808617996.666664,31889781934.0,452694270.333333,56298540962.33333,177624245555.66663,286073880718.99994
13,22982126479.33333,36923789718.0,521020967.333333,68013538095.33333,204256613246.33328,332697088506.33325
14,26417995025.666664,42375592641.0,613363943.666667,80054361106.66666,236145180936.6666,385606493653.6666
15,30112374826.666664,48099788952.0,897789341.0,83516018499.66666,267040337196.3333,429666308815.6666
16,34150895228.666664,54302740674.66666,802693917.0,123885310651.0,302123281524.6666,515264921995.99994
17,38211712375.66666,60843089985.0,880355180.333333,118847052556.0,337029802544.3333,555812012641.3333
18,42593271388.66666,67738166836.33333,996076746.333333,125444614157.66666,377145413379.33325,613917542508.3333
19,47220763758.66666,75029037708.33331,1087991623.0,129492677400.3333,417887600545.33325,670718071035.6665
