N,pairwise_squared_euclidean_distance,pairwise_affinity_perplexity,symmetrize_affinities,low_dimensional_affinities,gradient_computation_update_normalize,total
0,50992672.666667,143727914.0,730433.666667,213863608.66666698,1346342499.333333,1755657128.333334
1,201896561.66666698,563585608.666667,3149876.333333,723615991.666667,5474051125.0,6966299163.333334
2,452164288.666667,1257901064.666667,9265874.333333,2079051034.0,12645994117.0,16444376378.666668
3,808289723.0,2217288534.0,17245270.666667003,3662062573.666667,22474455329.666664,29179341431.0
4,1307783597.0,3449602396.0,31003220.333333,9004030333.0,34924501036.33333,48716920582.66666
5,1977793256.3333328,4950425556.666666,41688361.666667,12533281431.0,50125651995.66666,69628840601.33331
6,2811096278.0,6725904201.333333,62205633.66666701,24582652883.33333,68126073004.33333,102307932000.66666
7,3759925842.333333,8748439380.0,105614769.0,19721668556.33333,89327478385.0,121663126932.66666
8,4866189755.666666,11051631618.333332,104839617.0,28650075217.666664,112951982513.0,157624718721.66666
9,6108996191.0,13601688380.666666,126985057.0,35409627589.666664,139022310976.66666,194269608195.0
10,7504987142.666666,16443575665.666666,164682790.33333302,62899024961.66665,167368476784.0,254380747344.3333
11,9034730671.333332,19543046442.33333,192541013.66666698,45648760648.0,198868175437.33328,273287254212.66663
12,10591599949.666666,22932023080.33333,240057031.0,56731483954.0,233409119843.0,323904283858.0
13,12387944926.0,26571289652.666664,274602153.0,66589739159.0,269863113176.3333,375686689067.0
14,14356382063.0,30445687055.333324,333377927.0,88300216699.66666,310050272148.6666,443485935893.6666
15,16370773971.0,34629631402.33333,578588377.0,83567408613.0,358968331870.3333,494114734233.6666
16,18584359801.666664,39080145296.0,438181392.0,91887335485.0,397897331126.66656,547887353101.33325
17,20974915274.33333,43822528818.33333,479593826.0,166538400500.66663,447233773776.3333,679049212195.6666
18,23251351354.33333,48712813405.0,545293050.333333,126047991165.3333,494995012751.3332,693552461726.3331
19,26000603345.0,53925354822.66666,589444695.333333,130024226099.3333,551599726079.0,762139355041.3333
