N,pairwise_squared_euclidean_distance,pairwise_affinity_perplexity,symmetrize_affinities,low_dimensional_affinities,gradient_computation_update_normalize,total
500.0,127679629.0,93964812.666667,1328388.0,205286066.33333302,1368013247.333333,1796272143.333333
1000.0,506792535.0,372198818.0,5603156.333333001,798263515.666667,5480953121.666667,7163811146.666667
1500.0,1136753500.333333,836517336.333333,14754139.0,2802703353.333333,12446297292.333334,17237025621.333332
2000.0,2018014145.6666672,1470751336.666667,25024672.333332997,4113715353.0,22040410975.0,29667916482.666668
2500.0,3167515184.666667,2291259587.0,42308912.0,10042900267.333334,34335867267.666668,49879851218.66667
3000.0,4613593591.333333,3295404632.666667,57947870.33333299,12023332531.333334,49507630121.66666,69497908747.33333
3500.0,6351052846.666667,4471145481.666667,85623770.333333,15879029572.666666,67292008581.0,94078860252.33333
4000.0,8336731895.666667,5838728159.333333,132565807.0,23935088143.33333,87963639681.33331,126206753686.66664
4500.0,10592839163.0,7371395315.0,142764433.0,33716255111.0,111733398478.33331,163556652500.3333
5000.0,13098228944.0,9081760792.0,168667030.66666698,48845291286.333336,137102079195.3333,208296027248.3333
5500.0,15926400705.666666,10999060852.666666,216989533.0,61788939330.0,165884213844.66663,254815604265.99994
6000.0,18933349174.0,13040135935.666666,248639624.66666698,52103649000.66666,197091818668.66663,281417592403.6666
6500.0,22259001112.0,15362468704.0,310529854.666667,60613372461.66665,231490279364.6666,330035651496.9999
7000.0,25861089620.0,17778302802.333332,350875043.0,97304867409.0,267804804940.3333,409099939814.6666
7500.0,29677021922.333324,20352742254.33333,421216510.333333,76771977202.0,309779267475.6667,437002225364.6667
8000.0,33789784506.666668,23356562723.33333,677017527.0,95875858646.33331,352607454917.33325,506306678320.66656
8500.0,38165593707.333336,26156672593.33333,554442244.333333,93100775808.0,395271239189.0,553248723542.0
9000.0,42829306984.333336,29315175565.0,597575390.666667,123573813430.6667,445981851013.0,642297722383.6667
9500.0,47693184610.333336,32722677925.666668,683990491.333333,123980203536.0,493431023881.6666,698511080445.0
10000.0,52799343607.0,36260901122.0,740665227.333333,146921312441.0,550843154597.6666,787565376995.0
