N,pairwise_squared_euclidean_distance,pairwise_affinity_perplexity,symmetrize_affinities,low_dimensional_affinities,gradient_computation_update_normalize,total
0,58665851.66666701,20502509.333332997,516117.0,204910361.0,1362368168.0,1646963007.0
1,233101957.66666698,74791052.666667,2464993.0,764625024.0,5448077678.333333,6523060705.666667
2,525583265.0,170862757.66666698,7966731.666666999,3829276606.333333,12345713048.0,16879402408.666668
3,933427211.666667,293093097.0,13698469.333333,4054143771.333333,21930645079.666668,27225007629.0
4,1510264674.333333,457659861.333333,25719914.666667003,7871914448.0,34215713471.0,44081272369.33333
5,2260928584.666667,647711543.666667,34751102.666667,12009593335.0,49335595633.66666,64288580199.66666
6,3201641537.0,890069797.666667,54535810.333333,15772932948.333334,67053763636.66665,86972943729.99998
7,4301966306.0,1147505825.666667,92892342.0,23995673767.666668,87980311371.66667,117518349613.0
8,5571767773.0,1465468354.0,92259300.333333,27770504196.666668,111235014858.66669,146135014482.6667
9,6984486669.333333,1804854839.3333328,107511601.666667,48612204560.66666,136642909569.3333,194151967240.33328
10,8578890235.666667,2199781467.0,142977105.0,40972669648.333336,165250683280.33334,217145001736.33334
11,10295261652.666666,2597062711.333333,161371681.33333302,51649981268.333336,197032471146.66663,261736148460.3333
12,12148851455.333334,3064209340.666667,208022739.66666698,55841993506.333336,231134185611.6666,302397262653.6666
13,14187681628.666666,3551529560.333333,230697361.66666698,91560019863.0,267308690670.3333,376838619084.0
14,16355026888.333334,4108169483.666667,285082368.0,76665047235.66667,307424931604.0,404838257579.6667
15,18715341939.666668,4661491313.666667,524985915.0,95746087828.0,349874777540.6667,469522684537.0
16,21134694391.33333,5306030516.666667,379888665.666667,93985132471.0,394321318832.3333,515127064877.0
17,23942945658.0,5954147987.333333,401236930.333333,116576574741.0,441133361356.6666,588008266673.3333
18,26673615804.0,6690721834.333333,467687788.666667,129071834226.3333,492737785006.6666,655641644660.0
19,29701264838.0,7425545629.666667,501961668.333333,144356147413.33334,546025315994.6666,728010235544.0
