N,pairwise_squared_euclidean_distance,pairwise_affinity_perplexity,symmetrize_affinities,low_dimensional_affinities,gradient_computation_update_normalize,total
500,16217421.333333,143884016.000000,379226.333333,196099527.000000,352410450.666667,708990641.333333
1000,61219180.666667,563437162.000000,1641537.333333,721255550.666667,1368565557.000000,2716118987.666667
1500,137431910.000000,1257590222.666667,5662934.666667,2113033413.333333,3599129988.333333,7112848469.000000
2000,240761475.333333,2217835553.666667,8532017.000000,4040052378.333333,6877710842.666666,13384892267.000000
2500,381612641.666667,3446547686.333333,16661254.333333,8031315078.000000,10806527251.000000,22682663911.333332
3000,559248263.666667,4948284924.333333,24998705.333333,17680665635.666664,14967211496.000000,38180409025.000000
3500,783063291.333333,6714448804.000000,33693257.666667,24841174867.000000,21155954504.333332,53528334724.333328
4000,1039018993.333333,8746466863.666666,40221012.000000,20059973456.333332,28991152590.333332,58876832915.666664
4500,1345678319.333333,11048607650.333332,56910027.333333,28769434722.000000,35713270831.000000,76933901550.000000
5000,1668179825.333333,13595450399.666666,69261490.333333,35657677212.333328,40596035410.000000,91586604337.666656
5500,2032174808.666667,16458256554.666666,85324740.333333,42471983359.333328,50973802853.333328,112021542316.333328
6000,2426121221.333333,19541742900.666664,94066378.666667,45831692643.000000,64148376201.333328,132041999345.000000
6500,2884155910.666667,22934468334.666664,120261026.000000,58477998145.000000,70873176050.000000,155290059466.333313
7000,3333082522.000000,26569697715.333332,144678348.666667,66249391967.666664,81649198826.333328,177946049380.000000
7500,3850544114.000000,30402656064.666664,160420785.666667,116249067500.333328,92322938617.333328,242985627082.000000
8000,4397823304.000000,34601077062.666664,176776572.333333,83447311181.666656,117355964361.666656,239978952482.333313
8500,5024573096.000000,39053557791.000000,206711415.666667,124622642018.333328,123637719562.000000,292545203883.000000
9000,5605604255.666666,43803127290.000000,238480824.000000,162478475245.666656,132335063910.000000,344460751525.333313
9500,6275111290.666666,48699615607.333328,259695688.000000,167277515468.666656,151344302309.000000,373856240363.666626
10000,6970720706.000000,53908153334.000000,268500660.000000,128909533270.333328,177217147032.000000,367274055002.333313
