N,pairwise_squared_euclidean_distance,pairwise_affinity_perplexity,symmetrize_affinities,low_dimensional_affinities,gradient_computation_update_normalize,total
500,18496747.333333,20314162.666667,288319.333333,205101913.333333,330246443.333333,574447586.000000
1000,69061862.333333,74742793.333333,1188787.333333,1030964114.000000,1305357077.000000,2481314634.000000
1500,158664103.666667,169233706.000000,3249576.333333,2181707091.333333,3223760510.666667,5736614988.000000
2000,275307970.333333,292072918.333333,7207601.666667,4211526899.333333,6442186337.000000,11228301726.666666
2500,436452470.333333,459802537.666667,13064703.333333,7558742992.666667,9273668696.000000,17741731400.000000
3000,642247053.000000,646272865.666667,19230597.333333,17032171776.666666,13478508987.333334,31818431280.000000
3500,898672779.333333,888225748.000000,27189801.666667,15549584901.333334,18320878484.333332,35684551714.666664
4000,1194916759.333333,1143642048.000000,35351870.666667,21519148347.666668,27139415625.666668,51032474651.333336
4500,1533326971.333333,1459636473.666667,45762226.333333,26026463920.666668,32759877573.333332,61825067165.333336
5000,1915081544.333333,1793374548.666667,54257174.000000,37134224660.333336,36982903556.666664,77879841484.000000
5500,2324299332.666667,2186181919.666667,71062730.666667,59988557383.666664,44009090297.666664,108579191664.333328
6000,2769041322.333333,2614900837.000000,82277469.333333,49381792172.333336,58864056382.333336,113712068183.333328
6500,3297783854.000000,3046555639.333333,98796765.333333,56730733036.000000,63523778068.333336,126697647363.000000
7000,3810043314.000000,3587716108.333333,112132812.333333,95733068261.333328,70949460045.000000,174192420541.000000
7500,4415585272.666667,4146408172.000000,130468266.333333,105290964475.333328,82443003390.333328,196426429576.666656
8000,5016262212.666667,4637455120.666667,151542196.333333,95721195271.666672,107723353684.666672,213249808486.000000
8500,5719454282.333333,5284244548.333333,168553488.000000,119949627277.333328,106644961972.666672,237766841568.666656
9000,6428383678.333333,5935239908.000000,181711717.333333,163238630883.666656,111351851088.000000,287135817275.333313
9500,7211246946.333333,6666407190.666667,212869371.000000,186088178378.666656,129317692935.666672,329496394822.333313
10000,7966755449.000000,7390385008.666667,233491384.666667,146674799686.666656,163310818193.000000,325576249722.000000
