N,pairwise_squared_euclidean_distance,pairwise_affinity_perplexity,symmetrize_affinities,low_dimensional_affinities,gradient_computation_update_normalize,total
500,391771941.666667,194027701.666667,2000494.000000,2069520255.000000,1022955736.000000,3680276128.333333
1000,1547804535.000000,776008662.333333,8736545.000000,12630901381.000000,4079100727.666667,19042551851.000000
1500,3479038721.000000,1741882767.666667,21293904.333333,21306909785.666664,9283797177.666666,35832922356.333328
2000,6190137764.000000,3065344054.000000,37245898.666667,56479675273.000000,16556695617.000000,82329098606.666656
2500,9659384977.333332,4773903368.000000,60190817.000000,98524961370.000000,25956805828.000000,138975246360.333313
3000,13919925078.666666,6854552529.000000,85002244.333333,92464845398.333328,37920891560.666664,151245216811.000000
3500,18970258370.666664,9299093485.333332,120490871.000000,139184408843.666656,51511871820.333328,219086123391.000000
4000,24784749828.000000,12125429167.333332,180580205.333333,200527044469.333313,67168897736.333328,304786701406.333313
4500,31386768135.666664,15333684351.000000,199869436.666667,237940561081.666656,85384801605.333328,370245684610.333313
5000,38771609217.333328,18865592987.666664,243775679.333333,301047378740.666626,105038441494.000000,463966798119.000000
5500,46964177812.000000,22839624667.000000,304313625.666667,484173640029.000000,127162784386.333328,681444540520.000000
6000,55903766965.666664,27107922530.666664,358949626.333333,784973307070.333252,151190004242.333313,1019533950435.333252
6500,65582461742.000000,31806958239.000000,434753255.666667,540488356963.666626,177332845364.333313,815645375564.666626
7000,76082029283.666656,36830397640.000000,500524097.666667,627646510238.333252,205902747508.666656,946962208768.333252
7500,87331734906.000000,42296911897.666664,591210933.666667,726374573125.000000,235660459665.000000,1092254890527.333252
8000,99388827319.333328,48015082274.333328,872893930.666667,890238255454.333252,268706788892.333313,1307221847871.000000
8500,112194998461.666656,54160757115.333328,771323692.333333,964391720707.333252,302711785712.000000,1434230585688.666504
9000,125829420717.000000,60703221656.666664,849810972.000000,1064636063618.000000,341198911873.000000,1593217428836.666504
9500,140233090196.666656,67538499911.333328,961120777.666667,2163224820496.666504,378208639317.333313,2750166170699.666504
10000,155399303403.333313,74869983864.000000,1046996281.000000,2352270904897.000000,419865699186.333313,3003452887631.666504
