N,pairwise_squared_euclidean_distance,pairwise_affinity_perplexity,symmetrize_affinities,low_dimensional_affinities,gradient_computation_update_normalize,total
500,386774718.000000,143326795.333333,627519.666667,1106691050.666667,337004070.333333,1974424154.000000
1000,1540778900.666667,561905833.000000,3146467.666667,8998185305.000000,1331265988.333333,12435282494.666666
1500,3468536870.000000,1254967809.333333,10904206.666667,13816030212.333332,3230571049.666667,21781010148.000000
2000,6165681469.333333,2208681658.666667,17184611.333333,25405061878.000000,5810274536.000000,39606884153.333328
2500,9644689209.333332,3440413938.666667,29431045.000000,43451528673.333328,9316206913.666666,65882269780.000000
3000,13903232431.333332,4930398293.666666,41609483.333333,120616921463.000000,13753799872.000000,153245961543.333313
3500,18947186696.333332,6690184493.666666,62126039.000000,193765126548.333313,18703532668.666664,238168156446.000000
4000,24770150802.666664,8720142258.666666,105598583.000000,296577262573.333313,24762046666.000000,354935200883.666626
4500,31365857368.000000,11015411367.666666,105238483.333333,173696653174.666656,32784040876.666664,248967201270.333313
5000,38750655953.000000,13558884177.666666,127302217.333333,221664481867.666656,38564547346.000000,312665871561.666626
5500,46914472182.000000,16397182735.000000,164055228.000000,273968016076.333313,46422580847.666664,383866307069.000000
6000,55841932590.666664,19485629380.333332,192512603.666667,665007946836.333252,55687238931.000000,796215260342.000000
6500,65529968138.333328,22848564063.666664,239804014.666667,406287000199.333313,64328683025.000000,559234019441.000000
7000,76049740601.000000,26471369967.666664,274435251.666667,942202668289.000000,78080147136.333328,1123078361245.666504
7500,87298101715.666656,30323208615.333332,333279512.333333,604055740750.666626,87634396198.333328,809644726792.333252
8000,99360166298.333328,34483469967.000000,579099782.000000,1438903551485.000000,98230890097.000000,1671557177629.333252
8500,112173513664.666656,38918330249.333328,438444775.666667,939635436453.000000,110166998532.000000,1201332723674.666504
9000,125776113286.333328,43625505762.000000,479273193.000000,1647335038391.666504,131278672765.000000,1948494603398.000000
9500,140147689131.666656,48518130584.333328,549203099.333333,1879687098248.000000,138388176647.333313,2207290297710.666504
10000,155235503675.333313,53655814574.666664,590378058.333333,1006469098101.000000,158933946191.666656,1374884740601.000000
