N,pairwise_squared_euclidean_distance,pairwise_affinity_perplexity,symmetrize_affinities,low_dimensional_affinities,gradient_computation_update_normalize,total
500,201953951.333333,92716002.666667,1289850.000000,1452957287.666667,898223324.333333,2647140416.000000
1000,800774493.333333,366157437.000000,5545707.666667,10455249485.666666,3602131363.000000,15229858486.666666
1500,1796590397.666667,831307992.000000,14579262.333333,16976147798.666666,8314026143.666667,27932651594.333332
2000,3196860723.000000,1454176604.000000,25112628.666667,30323196721.000000,14709963399.666666,49709310076.333336
2500,5004835115.000000,2257952017.000000,42077083.333333,51735404546.000000,22883220872.000000,81923489633.333328
3000,7235362093.333333,3248068444.333333,58124046.666667,76766584861.000000,33520620397.000000,120828759842.333328
3500,9895541037.000000,4421132782.000000,85382298.666667,205902026370.333344,45962811262.666664,266266893750.666656
4000,12954216496.333334,5753779822.666667,132716262.666667,173673506812.000000,59518581655.000000,252032801048.666656
4500,16428447188.666666,7259262885.666667,142717975.333333,201102138455.333344,75375060932.666672,300307627437.666687
5000,20316912337.333332,8949763241.333334,168439892.333333,254091513189.666656,93043545878.666672,376570174539.333313
5500,24607628722.333332,10842598582.666666,216781338.666667,319320013066.666687,113511319990.000000,468498341700.333313
6000,29290913716.000000,12865541484.666666,248666182.000000,383302200009.000000,133983071224.000000,559690392615.666626
6500,34410070969.000000,15123241024.666666,311570450.666667,859677779750.333374,156600176760.333344,1066122838955.000000
7000,39911322322.666664,17515136895.000000,349540270.333333,545911381315.666687,182394253449.000000,786081634252.666626
7500,45839819479.333336,20090635088.333332,421497006.000000,1125420267413.666748,211536750014.333344,1403308969001.666748
8000,52147690909.666664,22838395971.000000,681641517.000000,789137071253.666626,238215432677.333344,1103020232328.666748
8500,58911973284.333336,25799088975.333332,555061755.000000,828261465440.333374,268465235625.333344,1181992825080.333252
9000,66040708966.000000,28952102411.333332,594405746.000000,925539194491.333374,301407629455.000000,1322534041069.666748
9500,73613399196.333328,32308585104.333332,684108047.000000,1285258404949.000000,340621802726.666687,1732486300023.333252
10000,81536196096.666672,35723948662.000000,743496477.000000,1142719589703.333252,372457820725.666687,1633181051664.666748
