N,pairwise_squared_euclidean_distance,pairwise_affinity_perplexity,symmetrize_affinities,low_dimensional_affinities,gradient_computation_update_normalize,total
500,384080122.333333,20139085.000000,529689.000000,717925275.000000,161463578.666667,1284137750.000000
1000,1535700594.666667,74438484.666667,2442606.000000,4430175685.666667,694553187.000000,6737310558.000000
1500,3454861749.666667,168415898.333333,7696042.333333,22004291888.000000,2282156203.000000,27917421781.333332
2000,6149432977.333333,288560371.666667,13862880.000000,39309875021.666664,4183987467.000000,49945718717.666664
2500,9614818832.333334,454159438.666667,25596325.000000,72320722530.000000,6576610673.333333,88991907799.333328
3000,13852937420.000000,644768198.000000,34931074.000000,55403976463.000000,9970617832.000000,79907230987.000000
3500,18895125060.666668,886106122.000000,54113078.000000,85169537733.666672,13272921814.000000,118277803808.333328
4000,24695115454.333332,1139006011.333333,91607507.666667,223424514443.666656,17773937056.666668,267124180473.666656
4500,31263178069.000000,1455993710.000000,90888810.333333,314881613191.333313,22406555206.666668,370098228987.333313
5000,38609890663.000000,1788903262.333333,107764250.000000,412835096931.000000,28819574902.000000,482161230008.333313
5500,46755903838.000000,2187013845.333333,143003949.333333,242242200076.000000,33222851906.666668,324550973615.333313
6000,55662725507.000000,2578948696.666667,160971160.666667,288091637815.666687,40882528769.666664,387376811949.666687
6500,65307152251.666664,3067965839.666667,209370787.000000,362407827322.333313,46938560212.666664,477930876413.333313
7000,75762221914.333328,3526519390.000000,237137504.666667,908831534521.333374,57004288962.666664,1045361702293.000000
7500,86991139263.666672,4077848714.000000,290650139.000000,475955712175.333313,62320241665.333336,629635591957.333374
8000,98944994526.333328,4632627813.333333,525557665.333333,648795706941.000000,72417668262.333328,825316555208.333374
8500,111761137686.333328,5265808663.333333,386473027.000000,636921934627.666626,81533043961.000000,835868397965.333374
9000,125319133443.333328,5921307310.000000,411207343.666667,1513703102990.333252,93519126472.000000,1738873877559.333252
9500,139600046914.666656,6646686033.333333,483123217.666667,1780818654590.666748,108464599162.666672,2036013109919.000000
10000,154740660527.666656,7454402788.333333,497592528.666667,1855114319724.666748,116296982034.000000,2134103957603.333252
