N,pairwise_squared_euclidean_distance,pairwise_affinity_perplexity,symmetrize_affinities,low_dimensional_affinities,gradient_computation_update_normalize,total
500,111078765.666667,194930463.000000,2033446.000000,774191733.333333,1053750724.666667,2135985132.666667
1000,437717906.666667,773653451.666667,8574545.333333,3150758797.333333,4209151774.000000,8579856475.000000
1500,980821304.000000,1737860183.000000,20713012.666667,7967607956.000000,9575854248.666666,20282856704.333332
2000,1742673334.333333,3067236527.333333,36666415.666667,12713091321.000000,16932278584.666666,34491946183.000000
2500,2740412521.666667,4782146808.000000,59212761.666667,20792524476.000000,26603657088.333332,54977953655.666664
3000,4014405073.666667,6865423404.000000,83653913.666667,33877872195.666664,38058014300.333328,82899368887.333328
3500,5543829333.000000,9313762645.666666,118370534.333333,42057124187.333328,52060040084.666664,109093126785.000000
4000,7325242485.333333,12142752341.666666,178239311.333333,55567637653.333328,67750513460.000000,142964385251.666656
4500,9322261635.333332,15356110021.000000,196968206.666667,69444794753.333328,88014704492.000000,182334839108.333313
5000,11578240004.000000,18920095068.000000,239753588.666667,86723905352.666656,105838697046.666656,223300691060.000000
5500,14081759585.666666,22859895413.000000,299606561.666667,104440922237.000000,128618741070.666656,270300924868.000000
6000,16856836155.333332,27155791115.666664,353536685.000000,125504477695.333328,152313004332.333313,322183645983.666626
6500,19755268491.333332,31882899286.333332,427318018.000000,147900037411.666656,181785938926.666656,381751462134.000000
7000,23000294782.333332,36901510669.666664,493562202.000000,172958010274.666656,207666140731.000000,441019518659.666626
7500,26440772379.000000,42349282271.333328,583925982.000000,221738094772.000000,237118967949.666656,528231043354.000000
8000,30170975879.666664,48070316179.333328,862418639.666667,246760430616.666656,271524265312.000000,597388406627.333252
8500,34174965485.333332,54261824745.666664,761522378.666667,291219752458.666626,305063059602.666626,685481124671.000000
9000,38275745894.666664,60804236998.666664,834476698.000000,323144887468.666626,340647867148.333313,763707214208.333252
9500,42642501655.000000,67718504683.333328,946833012.000000,318971610939.666626,379069714852.000000,809349165142.000000
10000,47259012532.000000,75028900219.333328,1028112179.333333,368271590345.666626,419000261977.666626,910587877254.000000
