N,pairwise_squared_euclidean_distance,pairwise_affinity_perplexity,symmetrize_affinities,low_dimensional_affinities,gradient_computation_update_normalize,total
500,50708996.000000,143033138.666667,618421.666667,831470197.333333,1584028394.666667,2609859148.333333
1000,201527380.333333,561033834.000000,3219745.333333,3205808921.666667,6501579847.333333,10473169728.666666
1500,452551668.000000,1251413520.000000,9191871.000000,8056831516.000000,14958733250.666666,24728721825.666664
2000,807605496.000000,2206870023.000000,17203829.000000,13407880366.666666,26652235089.000000,43091794803.666664
2500,1289463371.666667,3426920221.000000,30430073.666667,22143945836.333332,41292849648.000000,68183609150.666664
3000,1955965501.333333,4924667612.666666,41599721.333333,31532132822.000000,59445882135.000000,97900247792.333328
3500,2797724205.666667,6673583934.333333,62416877.000000,44028537639.000000,81113684062.666656,134675946718.666656
4000,3748100953.000000,8706643000.333332,105196994.333333,57374281141.666664,106122805168.666656,176057027258.000000
4500,4850701774.666666,10987965468.333332,105231114.000000,72884461584.000000,134198786857.000000,223027146798.000000
5000,6105328567.000000,13527423666.333332,127194159.666667,89972297987.333328,165183686923.333313,274915931303.666626
5500,7464246135.000000,16357069426.666666,164218488.666667,109366258434.666656,199052207163.666656,332403999648.666626
6000,8989433571.666666,19427349390.000000,191407629.666667,130845069804.666656,236154278499.666656,395607538895.666626
6500,10614577188.333332,22791409789.000000,238658109.333333,170767997846.333313,277868737058.000000,482281379991.000000
7000,12399979195.000000,26413451683.000000,274208290.333333,198065430065.666656,321071463812.000000,558224533046.000000
7500,14372302873.666666,30258376480.333332,334187965.333333,229651928978.666656,369604755290.666626,644221551588.666626
8000,16505064273.333332,34385611671.666664,583367569.000000,252829301105.666656,424902121268.666626,729205465888.333252
8500,18625126592.666664,38855640882.333328,441333737.000000,268285479784.666656,473027225733.666626,799234806730.333252
9000,21361615711.333332,43869086705.333328,484977924.666667,307728376518.666626,533457032172.333313,906901089032.333252
9500,23312316036.333332,48415149056.000000,548995440.333333,369419614931.666626,590538737783.333252,1032234813247.666626
10000,26062217963.666664,53591057998.333328,589674272.333333,388119497756.000000,657344728669.000000,1125707176659.333252
