N,pairwise_squared_euclidean_distance,pairwise_affinity_perplexity,symmetrize_affinities,low_dimensional_affinities,gradient_computation_update_normalize,total
500,128674153.333333,93040174.333333,1401642.000000,674063868.333333,1366957497.333333,2264137335.333333
1000,510220383.666667,365977445.000000,5533267.333333,2582071854.000000,5470063513.666667,8933866463.666666
1500,1146084986.000000,821143076.333333,14674951.000000,5871914787.000000,12372058740.000000,20225876540.333332
2000,2036452486.000000,1450377832.666667,25078324.333333,10549600090.000000,21977080924.333332,36038589657.333336
2500,3190962268.333333,2273485394.333333,42076283.333333,19569463722.666668,34366429362.000000,59442417030.666664
3000,4656508778.666667,3268123938.666667,58097209.000000,24609979360.666668,49494192173.000000,82086901460.000000
3500,6401880651.000000,4416128103.666667,85932884.000000,41985977411.333336,67292129147.333336,120182048197.333328
4000,8401947973.666667,5775346239.000000,132691557.333333,51095165549.333336,87953083567.000000,153358234886.333344
4500,10685273611.000000,7290019359.666667,142619343.666667,56000804052.333336,111714516498.666672,185833232865.333344
5000,13246012872.000000,8987093669.333334,168952479.666667,86682713594.000000,137266581795.333328,246351354410.333344
5500,16043114659.000000,11013385303.000000,216676626.333333,84901171073.000000,165871675718.333344,278046023379.666687
6000,19143342450.666668,12902309473.333334,249546178.333333,103671878827.000000,196973014329.666656,332940091259.000000
6500,22475950389.000000,15193086881.333334,310264810.000000,147352232367.333344,231449131502.333344,416780665950.000000
7000,26113355055.333332,17561644399.333332,350762006.333333,174427648751.000000,267794429814.666656,486247840026.666687
7500,29967779252.000000,20172299703.666668,421770878.666667,195823218396.666656,308114196693.666687,554499264924.666626
8000,34182592885.000000,22862078922.333332,683479711.666667,201709620747.666656,352641884776.000000,612079657042.666626
8500,38570125225.666664,25814756425.000000,555164361.000000,208700640978.666656,395216750402.666687,668857437393.000000
9000,43301209609.333336,29196184837.333332,610266487.000000,286973295900.000000,444551589906.000000,804632546739.666626
9500,48258745970.000000,32317776221.333332,687775218.000000,326386579779.666687,493384781447.666687,901035658636.666626
10000,53392621979.333336,35911765730.666664,741056497.666667,329918618220.000000,546402325347.000000,966366387774.666626
